pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
761.777796,579.325115,752.802615,662.757941,747.515719,547.805924,767.064692,633.378062,769.130453,583.905039,746.405698,666.296872
761.960000,579.000000,752.930000,662.950000,747.920000,548.060000,766.900000,632.880000,769.000000,584.010000,745.960000,665.970000
761.910000,578.990000,752.830000,662.900000,747.840000,548.140000,766.780000,632.800000,768.970000,583.990000,745.920000,665.940000
761.860000,579.010000,752.690000,662.850000,747.720000,548.160000,766.850000,632.140000,768.970000,584.000000,745.870000,665.890000
761.800000,579.010000,752.480000,662.860000,747.470000,547.990000,766.200000,632.800000,768.970000,584.000000,745.810000,665.890000
761.760000,579.020000,752.180000,662.860000,747.240000,547.900000,765.950000,632.910000,768.960000,583.990000,745.720000,665.860000
761.740000,579.030000,752.100000,662.830000,747.140000,547.870000,765.820000,632.700000,768.940000,583.980000,745.650000,665.840000
761.700000,579.030000,752.030000,662.800000,747.090000,547.910000,765.210000,633.170000,768.950000,583.980000,745.620000,665.860000
761.670000,579.040000,751.940000,662.780000,747.030000,547.950000,765.070000,633.020000,768.950000,583.990000,745.530000,665.810000
761.650000,579.050000,751.830000,662.720000,746.970000,548.000000,764.960000,632.790000,768.940000,583.990000,745.610000,665.860000
761.600000,579.060000,751.680000,662.680000,746.930000,548.020000,764.910000,632.430000,768.940000,584.000000,745.510000,665.750000
761.550000,579.060000,751.460000,662.680000,746.890000,548.090000,764.910000,631.880000,768.940000,584.000000,745.710000,665.910000
761.480000,579.030000,751.260000,662.670000,746.820000,548.130000,764.990000,631.160000,768.930000,583.980000,745.480000,665.650000
761.300000,579.020000,751.140000,662.650000,746.750000,548.210000,765.030000,630.650000,768.920000,583.990000,744.420000,665.350000
761.260000,579.020000,751.050000,662.600000,746.660000,548.190000,765.000000,630.380000,768.930000,584.010000,744.130000,665.360000
761.240000,579.010000,750.990000,662.500000,746.300000,547.780000,764.960000,630.220000,768.930000,583.990000,744.120000,665.300000
761.220000,579.030000,751.000000,662.130000,746.010000,547.220000,764.880000,630.120000,768.940000,584.000000,744.070000,665.250000
761.230000,579.030000,750.940000,662.110000,745.980000,547.290000,764.030000,631.250000,768.930000,584.010000,744.060000,665.180000
761.200000,579.050000,750.830000,662.080000,745.950000,547.320000,763.610000,631.900000,768.940000,584.010000,743.990000,665.160000
761.240000,579.050000,750.750000,662.100000,745.940000,547.380000,762.980000,632.640000,768.920000,584.000000,743.950000,665.130000
761.260000,579.070000,750.630000,662.100000,745.930000,547.370000,762.920000,632.390000,768.950000,584.020000,743.890000,665.150000
761.330000,579.090000,750.480000,662.160000,745.930000,547.350000,762.970000,631.860000,768.940000,584.030000,743.710000,665.230000
761.360000,579.120000,750.270000,662.200000,745.910000,547.380000,763.000000,631.250000,768.950000,584.040000,743.650000,665.260000
761.390000,579.130000,750.200000,662.190000,745.920000,547.320000,762.930000,631.070000,768.930000,584.040000,745.990000,665.830000
761.410000,579.150000,750.130000,662.190000,745.930000,547.300000,762.830000,630.950000,768.960000,584.050000,746.549940,666.617365
761.430000,579.150000,750.070000,662.190000,745.930000,547.290000,762.690000,630.840000,768.970000,584.050000,746.970000,667.000000
761.440000,579.170000,750.030000,662.160000,745.920000,547.250000,762.160000,631.350000,768.960000,584.070000,746.950000,666.990000
761.470000,579.160000,749.980000,662.170000,745.940000,547.270000,761.940000,631.730000,768.980000,584.070000,746.940000,666.990000
761.460000,579.170000,749.920000,662.160000,745.920000,547.270000,761.880000,631.480000,768.980000,584.070000,746.900000,666.970000
761.500000,579.140000,749.870000,662.140000,745.930000,547.290000,761.910000,630.800000,768.980000,584.070000,746.870000,666.960000
761.690000,579.170000,749.820000,662.120000,745.930000,547.260000,761.970000,630.070000,768.990000,584.070000,746.860000,666.970000
761.740000,579.170000,749.760000,662.130000,745.930000,547.260000,762.030000,629.530000,769.000000,584.090000,746.840000,666.960000
761.770000,579.190000,749.670000,662.150000,745.940000,547.260000,762.000000,629.290000,769.000000,584.110000,746.800000,666.970000
761.810000,579.200000,749.600000,662.150000,745.960000,547.200000,761.930000,629.180000,769.010000,584.120000,746.780000,666.980000
761.880000,579.210000,749.530000,662.170000,745.980000,547.170000,761.830000,629.090000,769.030000,584.130000,746.760000,666.980000
761.950000,579.250000,749.380000,662.220000,746.020000,547.110000,761.110000,629.840000,769.040000,584.150000,746.740000,666.990000
762.010000,579.270000,749.360000,662.230000,746.080000,547.050000,760.960000,629.990000,769.060000,584.170000,746.750000,667.000000
762.070000,579.290000,749.310000,662.250000,746.130000,546.980000,760.870000,629.870000,769.080000,584.210000,746.730000,667.030000
762.140000,579.290000,749.270000,662.290000,746.210000,546.940000,760.770000,629.770000,769.110000,584.200000,746.720000,667.050000
762.200000,579.280000,749.250000,662.310000,746.290000,546.920000,760.370000,630.120000,769.130000,584.240000,746.720000,667.070000
762.280000,579.290000,749.240000,662.320000,746.410000,546.860000,760.210000,630.110000,769.160000,584.230000,746.710000,667.080000
762.330000,579.250000,749.230000,662.370000,746.730000,547.180000,760.120000,630.070000,769.180000,584.250000,746.710000,667.090000
762.370000,579.250000,749.200000,662.400000,746.800000,547.150000,760.060000,630.020000,769.180000,584.260000,746.710000,667.100000
762.480000,579.250000,749.160000,662.410000,746.870000,547.140000,760.010000,629.950000,769.220000,584.280000,746.690000,667.110000
762.800000,579.370000,749.160000,662.450000,746.910000,547.100000,759.960000,629.870000,769.240000,584.300000,746.660000,667.140000
762.880000,579.390000,749.100000,662.520000,746.980000,547.070000,759.920000,629.810000,769.240000,584.280000,746.640000,667.160000
762.980000,579.420000,749.010000,662.930000,747.020000,547.020000,759.870000,629.740000,769.250000,584.290000,746.670000,667.200000
763.120000,579.530000,749.020000,662.990000,747.090000,546.960000,759.800000,629.700000,769.260000,584.280000,746.670000,667.240000
763.360000,579.950000,749.000000,663.000000,747.180000,546.930000,759.690000,629.670000,769.200000,584.250000,746.680000,667.280000
763.610000,579.990000,748.960000,663.080000,747.100000,546.650000,759.510000,629.730000,769.170000,584.140000,746.690000,667.300000
763.740000,580.040000,748.940000,663.140000,747.190000,546.380000,759.210000,629.960000,769.130000,584.110000,746.670000,667.440000
763.880000,580.090000,748.960000,663.190000,747.790000,547.100000,759.160000,629.900000,769.110000,584.010000,746.440000,667.920000
763.990000,580.120000,748.940000,663.260000,748.150000,547.650000,759.060000,629.810000,769.090000,584.000000,746.180000,668.020000
764.110000,580.170000,748.940000,663.310000,748.330000,547.670000,759.020000,629.680000,769.080000,583.920000,746.190000,668.050000
764.220000,580.230000,748.930000,663.350000,748.760000,547.980000,758.960000,629.490000,769.030000,583.850000,746.190000,668.070000
764.350000,580.240000,748.920000,663.400000,748.840000,547.910000,758.980000,628.940000,769.010000,583.790000,746.140000,668.120000
764.420000,580.190000,748.910000,663.440000,748.910000,547.810000,759.040000,628.310000,769.030000,583.780000,746.130000,668.130000
764.800000,580.300000,748.900000,663.480000,748.980000,547.690000,758.970000,628.240000,768.980000,583.660000,746.140000,668.150000
