pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022067,0.054180,0.051610,0.022975,0.053642,0.047770,0.028986,0.069616,0.064275
0.023401,0.058179,0.054379,0.023693,0.057104,0.052043,0.030016,0.076806,0.069441
0.021168,0.053124,0.050097,0.020930,0.053767,0.053797,0.028786,0.064918,0.056463
0.022732,0.058133,0.055648,0.025558,0.059677,0.057034,0.025498,0.071140,0.064251
0.022535,0.049527,0.045691,0.023795,0.053973,0.053222,0.027515,0.065433,0.060237
0.023624,0.055879,0.050937,0.025761,0.051873,0.049050,0.027001,0.068749,0.064085
0.024138,0.055458,0.053726,0.023388,0.057354,0.053988,0.026487,0.062562,0.063576
0.022881,0.052109,0.051841,0.024531,0.052480,0.052218,0.030350,0.069835,0.063430
0.021597,0.054862,0.050646,0.023799,0.057285,0.052062,0.028866,0.064015,0.062461
0.023396,0.057375,0.051488,0.022517,0.053026,0.051274,0.028189,0.071451,0.064140
0.021929,0.055536,0.052781,0.023995,0.058157,0.057686,0.029445,0.069980,0.067205
0.023084,0.050849,0.048042,0.025210,0.053328,0.052659,0.027638,0.065979,0.061589
0.024141,0.054236,0.050260,0.025358,0.054312,0.054298,0.028573,0.063611,0.057305
0.023642,0.053744,0.047965,0.025410,0.056405,0.054811,0.028044,0.064895,0.060012
0.023326,0.055236,0.048425,0.024833,0.054495,0.054069,0.028707,0.067601,0.063343
0.023659,0.057021,0.055309,0.024224,0.050153,0.049292,0.027517,0.074270,0.068469
0.023952,0.051878,0.046963,0.025722,0.058352,0.057755,0.029035,0.066864,0.064092
0.021905,0.055162,0.048819,0.024167,0.055472,0.052914,0.026351,0.064700,0.061163
0.022289,0.059505,0.054135,0.025122,0.054134,0.053978,0.028597,0.063693,0.061656
0.025128,0.057624,0.053806,0.025252,0.056320,0.052720,0.026833,0.070256,0.064367
0.023124,0.053941,0.047987,0.027172,0.055977,0.053322,0.030900,0.069747,0.063808
