pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
1.347567,0.315505,6.708486,1.380702,1.064055,6.505697,1.272281,-0.123896,6.474763
1.347923,0.311113,6.705277,1.382939,1.059550,6.500733,1.272424,-0.123402,6.476154
1.348246,0.306738,6.702100,1.385104,1.055029,6.495762,1.272561,-0.122892,6.477540
1.348535,0.302380,6.698954,1.387197,1.050494,6.490784,1.272691,-0.122368,6.478920
1.348789,0.298040,6.695839,1.389218,1.045942,6.485798,1.272815,-0.121829,6.480295
1.349011,0.293717,6.692756,1.391168,1.041376,6.480805,1.272933,-0.121276,6.481664
1.349198,0.289411,6.689703,1.393046,1.036793,6.475804,1.273044,-0.120708,6.483028
1.349351,0.285122,6.686682,1.394852,1.032196,6.470796,1.273148,-0.120126,6.484387
1.349470,0.280851,6.683692,1.396587,1.027583,6.465781,1.273247,-0.119528,6.485740
1.349556,0.276597,6.680734,1.398250,1.022954,6.460758,1.273339,-0.118917,6.487088
1.349608,0.272359,6.677807,1.399841,1.018310,6.455728,1.273424,-0.118290,6.488431
1.349625,0.268140,6.674911,1.401360,1.013651,6.450690,1.273503,-0.117649,6.489768
1.349609,0.263937,6.672046,1.402808,1.008976,6.445646,1.273575,-0.116994,6.491100
1.349559,0.259751,6.669212,1.404184,1.004286,6.440593,1.273642,-0.116323,6.492426
1.349475,0.255583,6.666410,1.405489,0.999580,6.435534,1.273701,-0.115639,6.493747
1.349358,0.251432,6.663639,1.406721,0.994859,6.430467,1.273755,-0.114939,6.495063
1.349206,0.247298,6.660899,1.407882,0.990122,6.425392,1.273801,-0.114225,6.496373
1.349021,0.243182,6.658191,1.408971,0.985370,6.420310,1.273842,-0.113496,6.497678
1.348801,0.239082,6.655514,1.409989,0.980602,6.415221,1.273876,-0.112753,6.498977
1.348548,0.235000,6.652868,1.410935,0.975819,6.410125,1.273903,-0.111995,6.500271
1.348261,0.230935,6.650253,1.411809,0.971021,6.405021,1.273924,-0.111223,6.501560
1.347940,0.226887,6.647669,1.412611,0.966207,6.399910,1.273939,-0.110436,6.502843
1.347585,0.222857,6.645117,1.413342,0.961378,6.394791,1.273947,-0.109634,6.504121
1.347197,0.218843,6.642596,1.414001,0.956533,6.389665,1.273949,-0.108818,6.505393
1.346774,0.214847,6.640106,1.414589,0.951673,6.384531,1.273945,-0.107987,6.506661
1.346318,0.210868,6.637648,1.415104,0.946797,6.379391,1.273934,-0.107141,6.507922
1.345827,0.206906,6.635221,1.415548,0.941906,6.374243,1.273916,-0.106281,6.509179
1.345303,0.202962,6.632825,1.415920,0.936999,6.369087,1.273893,-0.105406,6.510429
1.344745,0.199034,6.630460,1.416221,0.932077,6.363924,1.273862,-0.104517,6.511675
1.344153,0.195124,6.628126,1.416450,0.927140,6.358754,1.273826,-0.103613,6.512915
1.343527,0.191231,6.625824,1.416607,0.922187,6.353576,1.273782,-0.102694,6.514150
1.342868,0.187356,6.623553,1.416692,0.917218,6.348391,1.273733,-0.101761,6.515379
1.342174,0.183497,6.621313,1.416706,0.912235,6.343199,1.273677,-0.100813,6.516603
1.341447,0.179656,6.619105,1.416648,0.907235,6.337999,1.273614,-0.099850,6.517822
1.340685,0.175832,6.616928,1.416519,0.902221,6.332792,1.273546,-0.098873,6.519035
1.339890,0.172025,6.614782,1.416317,0.897190,6.327577,1.273470,-0.097882,6.520243
1.339061,0.168235,6.612667,1.416044,0.892145,6.322355,1.273389,-0.096875,6.521445
1.338198,0.164462,6.610583,1.415699,0.887084,6.317126,1.273301,-0.095854,6.522642
1.337302,0.160707,6.608531,1.415283,0.882007,6.311889,1.273206,-0.094819,6.523834
1.336371,0.156969,6.606510,1.414795,0.876915,6.306645,1.273105,-0.093769,6.525020
1.335406,0.153248,6.604520,1.414235,0.871808,6.301394,1.272998,-0.092704,6.526201
1.334408,0.149545,6.602562,1.413603,0.866685,6.296135,1.272884,-0.091625,6.527376
1.333376,0.145858,6.600635,1.412900,0.861547,6.290869,1.272764,-0.090531,6.528546
1.332310,0.142189,6.598739,1.412125,0.856393,6.285595,1.272637,-0.089422,6.529711
1.331209,0.138537,6.596874,1.411278,0.851224,6.280314,1.272504,-0.088299,6.530870
1.330076,0.134902,6.595041,1.410360,0.846039,6.275026,1.272364,-0.087161,6.532024
1.328908,0.131284,6.593238,1.409370,0.840839,6.269730,1.272218,-0.086009,6.533173
1.327706,0.127684,6.591467,1.408308,0.835623,6.264427,1.272066,-0.084842,6.534316
1.326471,0.124101,6.589728,1.407175,0.830392,6.259117,1.271907,-0.083660,6.535454
1.325201,0.120535,6.588019,1.405969,0.825146,6.253799,1.271742,-0.082464,6.536586
1.323898,0.116986,6.586342,1.404692,0.819884,6.248474,1.271570,-0.081253,6.537713
1.322561,0.113454,6.584696,1.403344,0.814607,6.243141,1.271392,-0.080027,6.538834
1.321190,0.109940,6.583081,1.401924,0.809314,6.237801,1.271208,-0.078787,6.539951
1.319785,0.106443,6.581498,1.400432,0.804005,6.232454,1.271017,-0.077532,6.541061
1.318346,0.102963,6.579946,1.398868,0.798682,6.227099,1.270820,-0.076263,6.542167
1.316874,0.099500,6.578425,1.397232,0.793343,6.221737,1.270616,-0.074979,6.543267
1.315367,0.096054,6.576935,1.395525,0.787988,6.216367,1.270406,-0.073681,6.544361
1.313827,0.092626,6.575477,1.393747,0.782618,6.210991,1.270189,-0.072367,6.545451
1.312253,0.089215,6.574050,1.391896,0.777233,6.205606,1.269966,-0.071040,6.546534
1.310645,0.085821,6.572654,1.389974,0.771832,6.200215,1.269736,-0.069697,6.547613
1.309003,0.082444,6.571289,1.387980,0.766415,6.194816,1.269500,-0.068340,6.548686
1.307327,0.079085,6.569955,1.385914,0.760983,6.189409,1.269258,-0.066969,6.549754
1.305617,0.075742,6.568653,1.383777,0.755536,6.183996,1.269009,-0.065582,6.550816
1.303873,0.072417,6.567382,1.381568,0.750073,6.178575,1.268754,-0.064182,6.551873
1.302096,0.069109,6.566143,1.379287,0.744595,6.173146,1.268492,-0.062766,6.552924
1.300285,0.065819,6.564934,1.376935,0.739102,6.167710,1.268224,-0.061336,6.553970
1.298439,0.062545,6.563757,1.374511,0.733592,6.162267,1.267950,-0.059891,6.555011
1.296560,0.059289,6.562611,1.372015,0.728068,6.156816,1.267669,-0.058432,6.556046
1.294647,0.056050,6.561496,1.369447,0.722528,6.151358,1.267382,-0.056958,6.557076
1.292700,0.052828,6.560413,1.366808,0.716973,6.145893,1.267088,-0.055470,6.558101
1.290720,0.049623,6.559361,1.364097,0.711402,6.140420,1.266788,-0.053967,6.559120
1.288705,0.046436,6.558340,1.361315,0.705815,6.134940,1.266481,-0.052449,6.560134
1.286657,0.043265,6.557350,1.358460,0.700214,6.129453,1.266168,-0.050916,6.561142
1.284574,0.040112,6.556392,1.355534,0.694596,6.123958,1.265849,-0.049370,6.562145
1.282458,0.036977,6.555465,1.352536,0.688964,6.118456,1.265523,-0.047808,6.563143
1.280308,0.033858,6.554569,1.349467,0.683316,6.112946,1.265191,-0.046232,6.564135
1.278124,0.030756,6.553704,1.346326,0.677652,6.107429,1.264852,-0.044641,6.565122
1.275906,0.027672,6.552871,1.343113,0.671973,6.101905,1.264507,-0.043036,6.566103
1.273655,0.024605,6.552069,1.339829,0.666279,6.096373,1.264155,-0.041416,6.567079
1.271369,0.021555,6.551298,1.336472,0.660569,6.090834,1.263797,-0.039781,6.568050
1.269050,0.018523,6.550558,1.333044,0.654843,6.085287,1.263433,-0.038132,6.569015
1.266696,0.015507,6.549850,1.329545,0.649103,6.079733,1.263062,-0.036468,6.569975
1.264309,0.012509,6.549173,1.325973,0.643346,6.074172,1.262684,-0.034789,6.570929
1.261888,0.009528,6.548527,1.322330,0.637575,6.068603,1.262301,-0.033096,6.571878
1.259433,0.006564,6.547912,1.318616,0.631787,6.063027,1.261911,-0.031388,6.572822
1.256944,0.003618,6.547329,1.314829,0.625985,6.057444,1.261514,-0.029666,6.573760
1.254422,0.000689,6.546776,1.310971,0.620167,6.051853,1.261111,-0.027929,6.574693
1.251865,-0.002224,6.546256,1.307041,0.614333,6.046255,1.260702,-0.026178,6.575621
1.249275,-0.005119,6.545766,1.303039,0.608484,6.040649,1.260286,-0.024412,6.576543
1.246651,-0.007996,6.545308,1.298966,0.602620,6.035037,1.259863,-0.022631,6.577460
1.243992,-0.010857,6.544880,1.294821,0.596740,6.029416,1.259435,-0.020835,6.578371
1.241300,-0.013700,6.544485,1.290605,0.590845,6.023789,1.259000,-0.019025,6.579277
1.238574,-0.016526,6.544120,1.286316,0.584934,6.018154,1.258558,-0.017201,6.580178
1.235815,-0.019335,6.543787,1.281956,0.579008,6.012511,1.258110,-0.015362,6.581073
1.233021,-0.022127,6.543484,1.277524,0.573066,6.006861,1.257656,-0.013508,6.581963
1.230193,-0.024901,6.543213,1.273021,0.567109,6.001204,1.257195,-0.011639,6.582847
1.227332,-0.027659,6.542974,1.268446,0.561137,5.995540,1.256728,-0.009756,6.583726
1.224437,-0.030399,6.542766,1.263799,0.555149,5.989868,1.256254,-0.007859,6.584600
1.221508,-0.033122,6.542588,1.259080,0.549145,5.984188,1.255774,-0.005946,6.585468
1.218545,-0.035827,6.542443,1.254290,0.543126,5.978502,1.255287,-0.004019,6.586331
1.215548,-0.038516,6.542328,1.249428,0.537092,5.972808,1.254794,-0.002078,6.587188
1.212517,-0.041187,6.542245,1.244494,0.531042,5.967106,1.254295,-0.000122,6.588040
1.209452,-0.043841,6.542192,1.239489,0.524977,5.961398,1.253789,0.001849,6.588887
1.206354,-0.046478,6.542172,1.234412,0.518896,5.955681,1.253277,0.003834,6.589728
1.203221,-0.049098,6.542182,1.229263,0.512800,5.949958,1.252758,0.005834,6.590564
