pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
1.337739,0.290187,6.704317,1.377509,1.048561,6.501491,1.267339,-0.092236,6.514206
1.332995,0.290179,6.702877,1.373174,1.03176,6.484596,1.271762,-0.102916,6.502461
1.334164,0.288542,6.700699,1.37526,1.030158,6.483131,1.272326,-0.103316,6.501435
1.335624,0.285702,6.697944,1.377105,1.033447,6.47709,1.272587,-0.104954,6.49958
1.33744,0.281355,6.69451,1.382767,1.024129,6.475678,1.272838,-0.106709,6.498175
1.339366,0.273854,6.68856,1.386952,1.0237,6.47534,1.273337,-0.109142,6.49568
1.340062,0.271999,6.686771,1.388978,1.022235,6.470768,1.273908,-0.110683,6.49402
1.340987,0.270986,6.685505,1.392332,1.007936,6.465648,1.273872,-0.111773,6.493431
1.341879,0.269143,6.683849,1.394054,1.005162,6.46176,1.2743,-0.114583,6.490638
1.342709,0.266342,6.680897,1.395716,1.002979,6.457416,1.274113,-0.111811,6.49352
1.34417,0.263264,6.677954,1.396737,1.001652,6.451663,1.274596,-0.115101,6.489531
1.345877,0.258328,6.673923,1.397815,1.001107,6.444652,1.273726,-0.108749,6.496777
1.347692,0.254532,6.67026,1.398955,1.003185,6.437105,1.274817,-0.115977,6.487201
1.350967,0.255904,6.670743,1.400364,1.00464,6.4324,1.279521,-0.147726,6.457853
1.351982,0.254259,6.668701,1.401885,1.005508,6.429105,1.28066,-0.15652,6.451227
1.352529,0.252803,6.666033,1.405957,1.014173,6.428346,1.280632,-0.156963,6.449796
1.352967,0.252475,6.661038,1.408483,1.020392,6.424471,1.280735,-0.158884,6.447726
1.353069,0.250433,6.659139,1.412452,1.000577,6.424064,1.280992,-0.159141,6.44669
1.354091,0.247966,6.656976,1.414608,0.991462,6.425596,1.281131,-0.161535,6.444515
1.353801,0.244664,6.654638,1.417449,0.976257,6.423687,1.281581,-0.162233,6.443394
1.354079,0.240656,6.651699,1.417893,0.974211,6.418455,1.281437,-0.164799,6.441912
1.35369,0.234623,6.647999,1.417763,0.974204,6.411018,1.282376,-0.16958,6.43929
1.354225,0.227868,6.643531,1.41826,0.97386,6.402849,1.282505,-0.171544,6.438269
1.354096,0.225007,6.641262,1.418214,0.971325,6.39752,1.272895,-0.100612,6.502718
1.354163,0.222424,6.63947,1.418441,0.968035,6.392898,1.269963,-0.082638,6.527906
1.354105,0.220168,6.637681,1.419029,0.963908,6.38783,1.267976,-0.069456,6.543626
1.354207,0.218622,6.636307,1.421106,0.951002,6.383416,1.268302,-0.069837,6.543436
1.353908,0.216433,6.634588,1.421695,0.945395,6.384168,1.268028,-0.070677,6.54279
1.354361,0.214934,6.633366,1.422337,0.943586,6.379247,1.268199,-0.071906,6.541537
1.353831,0.212427,6.630738,1.422353,0.942286,6.369227,1.268326,-0.072812,6.540677
1.351205,0.20575,6.625723,1.422213,0.942075,6.358767,1.268208,-0.073347,6.540398
1.350677,0.202712,6.623476,1.422138,0.94232,6.351656,1.268218,-0.074276,6.539794
1.350667,0.199343,6.621333,1.422192,0.940607,6.346985,1.268466,-0.075452,6.539252
1.35038,0.196237,6.619015,1.421971,0.93799,6.342539,1.268431,-0.076298,6.538854
1.349619,0.19238,6.616399,1.421993,0.934532,6.338057,1.26824,-0.07745,6.538089
1.349314,0.186257,6.612756,1.423937,0.915662,6.331706,1.268246,-0.078317,6.537806
1.348541,0.184052,6.611452,1.423353,0.91047,6.328683,1.26797,-0.078582,6.538016
1.347893,0.181016,6.609614,1.422715,0.906501,6.322876,1.267897,-0.079701,6.538076
1.346959,0.178099,6.607893,1.421772,0.901458,6.316874,1.26742,-0.080732,6.537428
1.346061,0.175985,6.606406,1.422043,0.889264,6.311268,1.267266,-0.081298,6.537795
1.344892,0.173546,6.604808,1.420626,0.881788,6.30424,1.266791,-0.08236,6.536987
1.343977,0.172144,6.603892,1.417393,0.870105,6.298559,1.266556,-0.082917,6.536964
1.343472,0.170293,6.602856,1.416457,0.866534,6.294585,1.266595,-0.082906,6.537239
1.34192,0.166201,6.599836,1.415569,0.863142,6.290754,1.266128,-0.084595,6.536335
1.337399,0.157418,6.595275,1.415023,0.860574,6.287042,1.266014,-0.085966,6.535933
1.336467,0.153701,6.593589,1.414006,0.857529,6.283371,1.266011,-0.086446,6.535556
1.335316,0.149603,6.596332,1.413415,0.855008,6.279701,1.265762,-0.085739,6.536805
1.33352,0.146054,6.595898,1.412395,0.851244,6.275305,1.265555,-0.085867,6.537125
1.331568,0.138135,6.595456,1.411354,0.845805,6.270065,1.266329,-0.083744,6.538895
1.32797,0.130374,6.591129,1.412184,0.843666,6.265288,1.266303,-0.082342,6.538805
1.326211,0.126357,6.589524,1.410881,0.834172,6.257021,1.266867,-0.081326,6.541066
1.324128,0.123189,6.588479,1.404783,0.815269,6.250679,1.267643,-0.085752,6.542679
1.322597,0.119784,6.587214,1.401928,0.801589,6.245755,1.268987,-0.092446,6.538526
1.320912,0.116581,6.586117,1.39943,0.795339,6.239252,1.268768,-0.091616,6.538534
1.319468,0.113309,6.584948,1.394356,0.781173,6.229474,1.269266,-0.090032,6.539091
1.317503,0.109628,6.582957,1.39292,0.778306,6.218758,1.269535,-0.090654,6.538459
1.316234,0.107668,6.581354,1.391374,0.776685,6.20758,1.269219,-0.091441,6.537859
