pt1_dltres,pt2_dltres,pt3_dltres
0.138646,0.078832,0.029581
0.437648,0.444803,0.141928
0.440607,0.514265,0.135435
0.432662,0.976707,0.164361
0.497118,0.223953,0.150066
0.566927,0.002187,0.140972
0.561313,0.075359,0.128591
0.562640,0.369694,0.109082
0.567467,0.282293,0.128478
0.548613,0.126601,0.112269
0.556671,0.113816,0.170108
0.615453,0.529195,0.108890
0.685626,1.054739,0.216120
0.730071,1.455564,0.173269
0.722572,1.605991,0.112262
0.678227,1.378293,0.137066
0.413141,1.006987,0.167237
0.412608,0.079830,0.218049
0.408591,0.445488,0.216228
0.436263,1.059406,0.217796
0.448754,0.912579,0.207275
0.502924,0.554981,0.115539
0.556014,0.116483,0.088902
0.555336,0.051048,0.256056
0.555893,0.006220,0.135751
0.567702,0.027702,0.294811
0.541957,0.474415,0.280385
0.563743,0.768771,0.280273
0.565698,0.616437,0.276193
0.579471,0.133470,0.276535
0.533506,0.355181,0.284476
0.548350,0.735552,0.267556
0.566022,0.892221,0.270258
0.570889,0.911501,0.273765
0.585589,0.930460,0.269220
0.619319,0.212737,0.265911
0.609724,0.041739,0.254207
0.614088,0.060038,0.249629
0.642048,0.086742,0.268698
0.659712,0.250210,0.252550
0.652044,0.307422,0.264814
0.709432,0.042095,0.255494
0.731972,0.034086,0.255483
0.734519,0.003538,0.248434
0.639753,0.023568,0.259871
0.677997,0.043180,0.291879
0.945268,0.049609,0.303891
0.891123,0.027954,0.336682
0.586219,0.012940,0.389449
0.591560,0.272648,0.479395
0.586751,0.673486,0.604870
0.564348,0.075608,1.056975
0.582487,0.383325,1.196270
0.567366,0.498768,1.270081
0.542265,0.880394,1.337638
0.555553,1.220526,1.426966
0.610465,1.602744,1.440477
0.517462,1.560472,1.539735
0.816928,1.517319,1.635649
0.831921,1.058785,1.686816
0.784303,0.623959,1.595593
0.433003,0.507889,1.736507
0.392954,0.378441,2.519044
0.362818,0.123886,2.764683
0.424897,0.058497,2.831535
0.464143,0.364115,2.840716
0.758238,0.401228,2.829452
0.758252,0.111766,2.838322
0.737707,0.151103,2.892664
0.737985,0.303032,2.963683
0.737736,0.579970,2.951062
0.717321,0.471897,2.980617
0.747112,0.946863,0.271277
0.741119,1.222273,0.060110
0.313256,1.170689,0.037813
0.302171,0.788788,0.148082
0.347296,0.619197,0.413521
0.343524,0.387895,0.395052
0.263923,0.782667,0.395884
0.254565,0.890135,0.371825
0.534582,0.801801,0.376388
0.534353,1.179308,0.416012
0.512889,1.133497,0.448028
0.531960,1.075704,0.466646
0.522901,1.214808,0.529869
0.508864,0.857938,0.559231
0.475168,0.449023,0.581584
0.505166,0.407955,0.573035
0.493330,0.336573,0.583967
0.447213,0.843863,0.548336
0.395177,1.026339,0.542814
0.313065,0.952037,0.292595
0.299178,1.233254,0.303746
0.291337,1.185807,0.287071
0.265558,1.130370,0.311935
0.279073,1.015542,0.293976
0.279195,0.383123,0.311927
0.303280,0.031531,0.286251
0.322603,0.497854,0.301102
0.319691,0.534064,0.338317
0.310865,0.494061,0.338401
0.317339,0.019699,0.363139
0.355175,0.179723,0.364947
0.328503,0.247256,0.369135
0.294983,0.291255,0.364592
