pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
773.263091,559.606406,768.288551,650.501433,747.876886,532.439691,771.811494,619.768917,792.082602,572.635171,767.342492,666.727283
773.040000,559.990000,768.010000,651.030000,747.912062,532.334165,771.906574,619.673837,791.980000,573.000000,766.990000,667.010000
773.080000,560.010000,768.020000,651.050000,748.017588,531.947237,771.906574,619.673837,791.970000,572.990000,767.000000,667.010000
773.110000,560.020000,768.040000,651.060000,748.087938,531.630659,772.096735,619.863998,791.970000,572.990000,766.990000,666.990000
773.150000,560.030000,768.040000,651.090000,748.158289,531.454783,772.096735,619.863998,792.000000,572.990000,767.000000,667.010000
773.210000,560.040000,768.050000,651.140000,748.193464,531.454783,772.096735,620.054159,791.990000,572.990000,767.000000,667.020000
773.270000,560.060000,768.060000,651.180000,748.263815,531.384432,772.096735,620.244320,791.980000,573.000000,767.000000,666.990000
773.360000,560.070000,768.070000,651.210000,748.263815,531.384432,772.096735,620.339400,791.990000,573.010000,766.990000,667.020000
773.460000,560.110000,768.080000,651.280000,748.334165,531.384432,772.286896,620.149239,791.980000,572.980000,766.990000,667.000000
773.740000,560.220000,768.100000,651.340000,748.439691,531.314082,772.286896,620.054159,791.970000,572.980000,767.000000,666.970000
773.830000,560.290000,768.110000,651.470000,748.439691,531.314082,772.477057,620.054159,791.980000,572.990000,767.010000,666.980000
773.950000,560.400000,768.110000,651.930000,748.474866,531.314082,772.762299,620.054159,791.990000,572.990000,766.990000,667.000000
774.160000,560.860000,768.110000,651.980000,748.721093,531.314082,772.952460,620.244320,791.980000,572.990000,767.000000,667.010000
774.260000,560.920000,768.130000,652.020000,749.178372,531.208556,772.952460,620.434481,791.990000,572.980000,767.000000,667.000000
774.370000,560.980000,768.150000,652.080000,749.600476,531.173381,772.952460,620.434481,791.970000,572.990000,767.000000,667.000000
774.490000,561.050000,768.140000,652.270000,749.811527,531.314082,773.047540,620.719722,791.990000,572.970000,767.000000,667.000000
774.790000,561.190000,768.210000,652.550000,750.057754,531.384432,773.047540,620.814803,792.010000,572.980000,766.990000,667.010000
774.930000,561.320000,768.240000,653.000000,750.092930,531.384432,773.332782,621.004964,792.010000,572.980000,767.000000,666.990000
775.100000,561.450000,768.250000,653.130000,750.409507,531.384432,773.618023,621.100044,791.990000,573.000000,767.000000,667.000000
775.400000,561.900000,768.240000,653.280000,750.655734,531.454783,773.903265,621.480366,791.980000,573.010000,767.000000,667.000000
775.700000,561.990000,768.270000,653.510000,750.761260,531.525134,773.998345,622.241010,791.960000,573.000000,767.000000,667.000000
775.860000,562.070000,768.230000,654.020000,751.077838,531.736185,774.093426,621.575447,791.990000,572.990000,767.000000,667.000000
776.020000,562.180000,768.300000,654.080000,751.253714,531.876886,774.188506,621.670527,791.990000,573.010000,767.000000,666.990000
776.200000,562.330000,768.370000,654.220000,751.675817,532.193464,774.283587,621.955769,792.000000,572.980000,767.000000,667.010000
776.520000,562.600000,768.360000,654.430000,751.886869,532.404516,774.473748,621.955769,791.960000,572.970000,766.990000,667.020000
