pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.031540,0.073652,0.069292,0.026767,0.056372,0.056098,0.023639,0.052047,0.047087
0.028438,0.068744,0.063496,0.027482,0.057758,0.055732,0.023709,0.057108,0.050964
0.030210,0.067060,0.063956,0.027626,0.062046,0.061680,0.026205,0.059276,0.052087
0.030685,0.072002,0.068924,0.025593,0.061065,0.056559,0.026336,0.058813,0.052166
0.028157,0.069375,0.064085,0.025108,0.059405,0.055944,0.023390,0.056064,0.050770
0.029635,0.067295,0.063296,0.026052,0.056043,0.055193,0.025771,0.054287,0.050818
0.028340,0.066698,0.061949,0.026106,0.058911,0.054010,0.022749,0.058357,0.056614
0.028198,0.073539,0.067544,0.025000,0.056976,0.056194,0.026379,0.058871,0.051747
0.027836,0.068207,0.063676,0.023171,0.055937,0.053776,0.024388,0.054020,0.050890
0.030525,0.075151,0.068287,0.027046,0.059395,0.053820,0.024066,0.055130,0.051442
0.030391,0.067213,0.060845,0.024821,0.062374,0.061426,0.025059,0.060257,0.054658
0.030633,0.067128,0.065129,0.024719,0.061468,0.059824,0.023839,0.053444,0.053041
0.029148,0.066381,0.058263,0.025674,0.060776,0.060499,0.023515,0.052687,0.050025
0.026666,0.073259,0.067019,0.023607,0.061625,0.058411,0.024903,0.052151,0.048820
0.030660,0.065628,0.060099,0.025016,0.056744,0.057238,0.024173,0.056113,0.050597
0.033760,0.070542,0.064637,0.026944,0.055007,0.055748,0.025155,0.055577,0.052697
0.031076,0.072950,0.069189,0.025651,0.063824,0.059267,0.021898,0.053901,0.049776
0.031022,0.072283,0.069298,0.027176,0.056185,0.057072,0.023329,0.056186,0.052518
0.029208,0.071971,0.063568,0.026306,0.058458,0.058598,0.023006,0.053677,0.049813
0.028450,0.068051,0.064247,0.026678,0.054259,0.056721,0.023797,0.052720,0.052034
0.028066,0.066864,0.064108,0.025287,0.057779,0.055682,0.025117,0.057429,0.054361
