pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
1.053753,0.478505,6.391554,1.309153,1.193553,6.162905,0.771123,-0.090189,6.407175
1.049646,0.473626,6.394794,1.305699,1.194002,6.166599,0.771670,-0.090639,6.406947
1.045545,0.468600,6.397992,1.302186,1.194137,6.170352,0.772194,-0.091046,6.406755
1.041450,0.463428,6.401147,1.298615,1.193956,6.174164,0.772695,-0.091410,6.406600
1.037360,0.458110,6.404258,1.294985,1.193461,6.178034,0.773173,-0.091731,6.406481
1.033277,0.452644,6.407327,1.291296,1.192651,6.181964,0.773628,-0.092009,6.406399
1.029199,0.447033,6.410353,1.287549,1.191526,6.185952,0.774060,-0.092244,6.406354
1.025127,0.441274,6.413336,1.283743,1.190087,6.189998,0.774469,-0.092436,6.406344
1.021062,0.435370,6.416275,1.279879,1.188333,6.194103,0.774854,-0.092584,6.406372
1.017002,0.429319,6.419172,1.275957,1.186265,6.198267,0.775217,-0.092690,6.406436
1.012948,0.423123,6.422026,1.271976,1.183883,6.202488,0.775556,-0.092752,6.406536
1.008900,0.416781,6.424837,1.267936,1.181189,6.206768,0.775872,-0.092772,6.406673
1.004858,0.410295,6.427604,1.263838,1.178182,6.211105,0.776165,-0.092748,6.406847
1.000823,0.403664,6.430329,1.259682,1.174863,6.215499,0.776435,-0.092681,6.407057
0.996794,0.396890,6.433011,1.255466,1.171234,6.219950,0.776682,-0.092571,6.407303
0.992772,0.389973,6.435650,1.251193,1.167296,6.224457,0.776906,-0.092418,6.407587
0.988756,0.382915,6.438246,1.246861,1.163052,6.229018,0.777107,-0.092222,6.407906
0.984747,0.375718,6.440799,1.242470,1.158502,6.233634,0.777285,-0.091983,6.408262
0.980745,0.368382,6.443308,1.238021,1.153650,6.238303,0.777439,-0.091701,6.408655
0.976751,0.360910,6.445775,1.233513,1.148498,6.243023,0.777571,-0.091375,6.409084
0.972765,0.353304,6.448199,1.228947,1.143050,6.247794,0.777679,-0.091007,6.409550
0.968786,0.345566,6.450580,1.224322,1.137309,6.252613,0.777764,-0.090595,6.410052
0.964816,0.337699,6.452918,1.219639,1.131280,6.257479,0.777826,-0.090141,6.410591
0.960856,0.329707,6.455213,1.214897,1.124968,6.262389,0.777865,-0.089643,6.411167
0.956904,0.321592,6.457465,1.210097,1.118378,6.267343,0.777881,-0.089102,6.411779
0.952963,0.313359,6.459674,1.205238,1.111516,6.272336,0.777874,-0.088519,6.412427
0.949032,0.305011,6.461840,1.200321,1.104389,6.277366,0.777844,-0.087892,6.413112
0.945112,0.296553,6.463963,1.195345,1.097004,6.282431,0.777790,-0.087222,6.413833
0.941204,0.287990,6.466043,1.190311,1.089369,6.287527,0.777714,-0.086508,6.414591
0.937309,0.279328,6.468080,1.185218,1.081492,6.292651,0.777614,-0.085752,6.415386
0.933426,0.270572,6.470074,1.180067,1.073385,6.297800,0.777492,-0.084953,6.416217
0.929558,0.261727,6.472025,1.174857,1.065055,6.302969,0.777346,-0.084111,6.417085
0.925705,0.252801,6.473933,1.169589,1.056514,6.308156,0.777177,-0.083225,6.417989
0.921868,0.243800,6.475798,1.164262,1.047774,6.313354,0.776985,-0.082297,6.418929
0.918047,0.234732,6.477620,1.158876,1.038846,6.318562,0.776770,-0.081325,6.419906
