pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
1.015485,0.429927,6.408749,1.293018,1.167299,6.215075,0.770945,-0.081859,6.408913
1.021633,0.428666,6.419653,1.291673,1.16898,6.213852,0.775438,-0.089276,6.411467
1.021041,0.427903,6.419613,1.288433,1.167108,6.207276,0.775521,-0.088689,6.411795
1.020528,0.427683,6.419738,1.285197,1.171694,6.209661,0.775558,-0.089047,6.411234
1.019931,0.426685,6.41951,1.283378,1.170272,6.206216,0.775035,-0.089507,6.411175
1.018976,0.425499,6.419424,1.282779,1.169864,6.208509,0.775197,-0.089203,6.411543
1.018064,0.424262,6.419292,1.281345,1.168709,6.209282,0.775401,-0.089045,6.41138
1.016636,0.422217,6.41827,1.281318,1.168961,6.210794,0.775318,-0.089537,6.411537
1.015169,0.419961,6.418025,1.279501,1.171844,6.210732,0.775353,-0.089268,6.411074
1.0111,0.413018,6.414954,1.277599,1.169029,6.206247,0.775479,-0.088796,6.411032
1.009909,0.411142,6.416216,1.276821,1.17423,6.21066,0.775322,-0.088763,6.411339
1.008405,0.409071,6.422363,1.275109,1.181123,6.216552,0.775233,-0.089561,6.410983
1.006987,0.402656,6.424097,1.270461,1.180474,6.218903,0.775359,-0.088962,6.411588
1.005568,0.400555,6.423835,1.262877,1.169421,6.2113,0.775155,-0.089246,6.411104
1.003987,0.398246,6.423687,1.256176,1.158608,6.202191,0.775521,-0.088721,6.411633
1.002389,0.395174,6.424825,1.253017,1.156202,6.206171,0.775112,-0.089226,6.410989
0.997905,0.389709,6.426374,1.249458,1.149939,6.203397,0.774867,-0.090054,6.410616
0.996054,0.387893,6.43288,1.247702,1.157348,6.212319,0.774831,-0.089824,6.410529
0.993843,0.383757,6.433186,1.241599,1.157241,6.213923,0.775239,-0.089286,6.411335
0.990977,0.374971,6.434327,1.236809,1.15955,6.222308,0.775443,-0.089034,6.411656
0.986443,0.368317,6.433574,1.234883,1.161302,6.235233,0.775725,-0.088468,6.411955
0.984329,0.36425,6.438428,1.230619,1.153488,6.222715,0.775197,-0.089266,6.41122
0.981969,0.36193,6.438993,1.228058,1.151492,6.224401,0.775281,-0.089339,6.411288
0.979449,0.359232,6.440884,1.222349,1.143254,6.226027,0.774992,-0.089487,6.41106
0.975504,0.350461,6.440523,1.219175,1.142554,6.228487,0.775635,-0.088638,6.411697
0.970871,0.340838,6.445611,1.214925,1.145054,6.24148,0.775077,-0.089527,6.41129
0.968773,0.335453,6.44423,1.211284,1.15395,6.261776,0.775353,-0.089236,6.411236
0.965253,0.33038,6.444815,1.203371,1.133224,6.256994,0.775359,-0.089057,6.411103
0.958257,0.320862,6.447435,1.199791,1.12,6.264234,0.775239,-0.089318,6.411173
0.95458,0.321236,6.459843,1.19185,1.105533,6.275317,0.775719,-0.08871,6.411765
0.951132,0.318989,6.470846,1.183483,1.101366,6.266924,0.775401,-0.088918,6.412027
0.944824,0.305519,6.470383,1.18018,1.102857,6.285199,0.775516,-0.089527,6.411669
0.941969,0.29869,6.47692,1.176935,1.102748,6.304646,0.775474,-0.089539,6.411392
0.938583,0.290995,6.476212,1.174193,1.094537,6.291855,0.775468,-0.089654,6.411849
0.932285,0.27885,6.472225,1.171999,1.090903,6.288967,0.776068,-0.08872,6.412695
0.929081,0.268012,6.473523,1.159099,1.056426,6.287814,0.7753,-0.090041,6.4121
0.923206,0.251959,6.472099,1.150286,1.031629,6.294794,0.77554,-0.089955,6.412833
0.920253,0.239246,6.467593,1.142838,1.018648,6.307905,0.775896,-0.090202,6.411525
0.916935,0.228951,6.472181,1.137877,1.0146,6.314287,0.775662,-0.090546,6.411531
0.910557,0.220056,6.475729,1.133475,1.014208,6.335753,0.775572,-0.090811,6.410788
0.906362,0.215517,6.480589,1.129321,1.013176,6.327789,0.776178,-0.089827,6.410852
0.900911,0.214486,6.497077,1.126382,1.007375,6.329133,0.776209,-0.095413,6.402406
0.894572,0.200803,6.50018,1.113818,0.981325,6.322945,0.776186,-0.092053,6.405751
0.890193,0.184951,6.503501,1.111427,0.967412,6.333164,0.776475,-0.09184,6.406304
0.882755,0.170521,6.503778,1.100807,0.948173,6.340991,0.776121,-0.088674,6.408981
0.879411,0.162663,6.503632,1.097167,0.944872,6.357423,0.776445,-0.088128,6.409394
0.873413,0.144538,6.504834,1.092413,0.941956,6.36818,0.776303,-0.085062,6.412647
0.871723,0.128432,6.508914,1.089259,0.943686,6.372321,0.77574,-0.085022,6.420079
0.866817,0.114841,6.513377,1.07083,0.906935,6.370188,0.782877,-0.070294,6.436192
0.861687,0.100562,6.514219,1.063518,0.88958,6.380125,0.782276,-0.069484,6.437156
0.857192,0.089818,6.513601,1.061997,0.894646,6.399754,0.777965,-0.073092,6.435127
0.849803,0.070908,6.510501,1.054361,0.884681,6.408222,0.777367,-0.072267,6.436105
0.842785,0.049726,6.509074,1.049125,0.876626,6.414769,0.775805,-0.077497,6.421107
0.839866,0.033823,6.51479,1.049107,0.867835,6.420446,0.773456,-0.075303,6.41644
0.837362,0.016682,6.516193,1.019279,0.809693,6.432822,0.767321,-0.031534,6.445403
0.830083,-0.000869,6.515706,1.020764,0.81485,6.45355,0.765935,-0.025905,6.443703
0.824992,-0.012493,6.512075,1.010325,0.792953,6.466427,0.765543,-0.023231,6.443674
0.819542,-0.02581,6.508972,1.00716,0.779604,6.468635,0.764601,-0.014675,6.467173
0.816417,-0.036822,6.513442,1.005533,0.768881,6.472403,0.761661,-0.011656,6.463498
0.81396,-0.048615,6.52281,1.004418,0.763679,6.492197,0.762033,0.000959,6.4757
0.808028,-0.072025,6.522686,0.988887,0.733071,6.483732,0.761132,-0.009259,6.46897
0.802716,-0.088672,6.521631,0.977193,0.706145,6.482717,0.763595,-0.016692,6.474319
0.796341,-0.094858,6.518904,0.971611,0.695654,6.482439,0.767951,-0.0193,6.507341
0.793303,-0.090586,6.521417,0.965751,0.696047,6.485357,0.766767,-0.009296,6.517542
0.785176,-0.090949,6.513241,0.965763,0.694593,6.495488,0.75651,-0.008503,6.503633
0.784788,-0.08907,6.514357,0.963385,0.692486,6.506495,0.752372,-0.005918,6.491535
0.783869,-0.088791,6.514781,0.951211,0.719929,6.509023,0.749799,-0.015009,6.474401
0.784737,-0.08943,6.514356,0.94838,0.695102,6.502717,0.747675,-0.009882,6.473977
0.784682,-0.087255,6.515671,0.935045,0.678632,6.497189,0.745163,-0.014384,6.476819
0.785785,-0.083318,6.517915,0.923377,0.692071,6.499716,0.746156,-0.017341,6.478486
0.784446,-0.086213,6.516521,0.92435,0.694433,6.500468,0.747573,-0.01501,6.485956
0.783828,-0.087911,6.515901,0.919063,0.693,6.497422,0.748764,-0.011594,6.509829
0.783286,-0.089491,6.514288,0.907799,0.683202,6.485727,0.750919,-0.009275,6.513433
0.783922,-0.08888,6.514737,0.902274,0.712598,6.504496,0.752081,-0.003503,6.517944
0.784112,-0.090639,6.514136,0.896656,0.710868,6.497829,0.752081,-0.003503,6.517944
0.784871,-0.086732,6.517313,0.882409,0.71101,6.48659,0.752081,-0.003503,6.517944
0.78439,-0.086084,6.516919,0.874199,0.717082,6.488746,0.752081,-0.003503,6.517944
0.785206,-0.07963,6.519038,0.866185,0.707417,6.479237,0.760095,0.006054,6.530719
0.781286,-0.079281,6.511043,0.863538,0.703058,6.475852,0.744833,-0.003617,6.514801
0.780883,-0.077717,6.504868,0.854038,0.705488,6.46823,0.733065,-0.011727,6.497717
0.781342,-0.077691,6.503522,0.85107,0.707632,6.462247,0.73614,-0.000154,6.502925
0.781176,-0.077139,6.506249,0.846233,0.716739,6.464295,0.734962,0.007812,6.502794
0.784692,-0.073718,6.509929,0.835379,0.718469,6.46308,0.734571,0.010976,6.505336
0.785935,-0.075248,6.514893,0.821444,0.711639,6.451739,0.733789,0.016799,6.507839
0.785629,-0.077238,6.512531,0.815531,0.707197,6.446194,0.733399,0.019962,6.51038
0.787377,-0.071582,6.515698,0.807086,0.716908,6.447861,0.732798,0.019749,6.506171
0.784963,-0.074426,6.513737,0.800951,0.723398,6.445562,0.73195,0.023518,6.501631
0.78196,-0.08202,6.50735,0.793102,0.721567,6.442278,0.73195,0.023518,6.501631
0.780997,-0.079957,6.507315,0.789877,0.72832,6.441193,0.73156,0.02668,6.504172
0.780771,-0.078536,6.50805,0.776669,0.727485,6.430099,0.731769,0.029042,6.505758
0.780786,-0.080746,6.505347,0.770571,0.722002,6.419329,0.731379,0.032203,6.508299
0.777745,-0.081797,6.502816,0.769272,0.726642,6.418687,0.730989,0.035364,6.510839
0.77926,-0.077387,6.503678,0.761073,0.721751,6.399552,0.734908,0.043138,6.52057
