pt1_dltres,pt2_dltres,pt3_dltres
0.067987,0.139231,0.120829
0.262101,0.119075,0.163289
0.254607,0.369033,0.168936
0.245979,0.658284,0.157683
0.254500,0.768952,0.165183
0.271680,0.893143,0.173259
0.275253,1.060678,0.147244
0.275007,1.125088,0.162071
0.280301,0.940847,0.170049
0.205862,0.910526,0.148429
0.232857,0.864352,0.144815
0.455825,0.790462,0.162006
0.150212,0.840737,0.167685
0.119095,0.981392,0.166402
0.100322,0.949882,0.162111
0.169177,0.996405,0.173194
0.209568,0.980516,0.173121
0.402449,1.035481,0.157075
0.378515,0.989047,0.152817
0.138835,1.097210,0.147276
0.188898,1.527807,0.156570
0.471006,0.868237,0.159610
0.399905,0.790599,0.139201
0.353534,0.689671,0.171975
0.274694,0.471967,0.192991
0.327693,0.613270,0.158391
0.293030,1.034630,0.176873
0.256280,1.168826,0.147211
0.184858,1.132482,0.145993
0.175112,1.463777,0.172583
0.513948,0.762062,0.174542
0.500439,1.416644,0.172542
0.445907,1.937400,0.172510
0.484158,1.349004,0.215821
0.342224,1.330609,0.257278
0.141649,0.893536,0.257882
0.413259,0.831365,0.282036
0.356534,0.742241,0.248349
0.180533,0.885108,0.216250
0.329077,1.636437,0.232198
0.356268,1.050360,0.216695
0.252521,1.064182,0.030332
0.561801,0.715169,0.028302
0.444141,0.078135,0.047428
0.604532,0.364028,0.080143
0.591876,1.107274,0.077641
0.335239,1.424873,0.144318
0.440932,1.211454,0.136766
0.743074,0.480386,0.610776
1.060262,0.398361,0.816889
0.974130,0.582289,1.205069
0.501324,0.697812,1.411183
0.003674,1.038569,0.852328
0.090612,0.347699,0.460360
0.523309,0.004770,0.024645
0.892825,0.725001,0.198514
1.012962,1.371999,0.333817
0.926765,1.576831,0.166996
0.648558,1.646832,0.352919
0.586530,2.530844,0.309315
0.679893,1.535651,0.816384
1.104213,1.071954,1.382853
1.104537,1.078474,0.708119
1.101365,0.840778,0.676481
1.368743,0.948397,0.009409
1.388377,1.445522,0.201894
1.421504,0.010296,0.090684
1.447674,0.800439,0.605407
1.398067,1.506420,0.507395
1.410828,0.737393,0.468782
1.431744,0.804741,0.784860
1.495313,0.845278,0.103075
1.532748,0.956463,0.187775
1.569756,0.994940,0.201686
1.566964,0.977013,0.201686
1.534884,1.174663,0.201686
1.546762,1.179410,0.201686
1.632723,1.467713,0.443784
2.051479,1.446349,0.109964
2.537553,1.095055,0.604190
2.592796,0.983263,0.807724
2.529721,0.665764,0.401693
2.473378,0.648967,0.375757
2.144391,0.821526,0.214473
2.167379,0.622763,0.188535
2.204359,0.299497,0.175827
2.200170,0.143996,0.574660
2.090558,0.394399,0.574660
2.160846,0.603903,0.548718
2.142014,0.692081,0.316668
2.120960,0.384500,0.290726
2.048440,0.427319,0.264782
2.165304,0.104780,0.069502
