pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
858.038042,410.109297,837.950675,544.053297,854.201679,378.655217,855.614838,518.843862,857.464183,420.849543,825.585730,549.964567
858.031015,410.182161,837.920000,543.990000,853.970000,379.020000,855.572675,518.906317,856.990000,420.970000,825.980000,549.980000
858.009933,410.192571,837.910000,543.980000,853.970000,379.040000,855.530512,518.906317,857.020000,421.000000,826.000000,549.990000
857.995879,410.202980,837.870000,543.990000,853.940000,379.040000,855.488349,518.906317,857.000000,421.000000,825.980000,549.980000
857.967770,410.202980,837.820000,543.980000,853.910000,379.000000,855.446186,518.906317,857.020000,421.000000,825.980000,549.950000
857.946689,410.213389,837.810000,543.980000,853.910000,379.060000,855.361860,518.656496,856.990000,421.010000,825.980000,550.000000
857.897499,410.223798,837.770000,543.970000,853.850000,379.020000,855.319697,518.656496,857.010000,421.000000,826.020000,550.010000
857.897499,410.234207,837.750000,543.970000,853.860000,379.040000,855.151046,518.843862,856.990000,421.000000,825.990000,549.950000
857.897499,410.244617,837.730000,543.950000,853.810000,379.000000,855.024557,518.906317,857.030000,421.020000,825.980000,550.010000
857.869390,410.255026,837.720000,543.930000,853.760000,379.020000,854.940231,518.968772,857.000000,421.010000,826.000000,549.980000
857.848309,410.255026,837.690000,543.920000,853.720000,379.010000,854.940231,518.968772,857.030000,420.980000,826.030000,550.050000
857.827227,410.275844,837.670000,543.890000,853.690000,378.990000,854.940231,518.843862,857.000000,420.990000,825.950000,549.980000
857.820200,410.286253,837.640000,543.880000,853.600000,378.980000,854.940231,518.843862,857.020000,421.000000,825.990000,549.980000
857.806146,410.296663,837.630000,543.880000,853.530000,379.010000,854.940231,518.843862,857.020000,421.000000,826.000000,549.970000
857.771010,410.307072,837.610000,543.880000,853.380000,378.920000,854.940231,518.781406,857.010000,421.010000,825.980000,549.970000
857.721820,410.317481,837.490000,543.910000,853.340000,378.940000,854.940231,518.781406,857.010000,421.020000,826.000000,549.980000
857.714792,410.327890,837.390000,543.950000,853.260000,378.910000,854.813742,518.781406,857.020000,421.030000,825.970000,550.010000
857.693711,410.348709,837.370000,543.940000,853.250000,378.980000,854.813742,518.781406,857.030000,420.980000,825.990000,549.990000
857.672629,410.348709,837.290000,543.970000,853.220000,379.000000,854.687253,518.781406,857.030000,420.970000,825.990000,550.000000
857.630466,410.369527,837.230000,543.970000,853.160000,379.030000,854.645090,518.781406,857.040000,421.030000,825.990000,549.980000
857.623439,410.400755,837.180000,543.980000,853.135316,379.082133,854.560764,518.781406,857.010000,420.980000,825.980000,549.990000
857.588304,410.421573,837.140000,544.000000,853.135316,379.082133,854.476438,518.718951,857.030000,421.010000,826.000000,550.010000
857.560195,410.452801,837.130000,544.010000,853.135316,379.082133,854.434275,518.656496,857.020000,421.010000,826.000000,549.990000
857.546141,410.463210,837.010000,544.010000,853.135316,379.082133,854.392112,518.656496,857.030000,421.010000,826.000000,549.950000
857.532086,410.494438,837.000000,544.030000,853.135316,379.082133,854.265623,518.718951,857.010000,421.030000,825.980000,549.990000
857.525059,410.504847,836.980000,544.040000,853.135316,379.082133,854.096971,518.718951,857.030000,420.990000,826.000000,549.990000
