pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.026673,0.056790,0.060183,0.024898,0.055186,0.058045,0.029541,0.059587,0.065402
0.025902,0.057351,0.059460,0.025940,0.058779,0.063586,0.026872,0.063232,0.065430
0.027014,0.057984,0.060102,0.026473,0.059809,0.062547,0.028452,0.064169,0.067641
0.027660,0.060551,0.065514,0.027444,0.061230,0.068409,0.027195,0.060459,0.064948
0.026917,0.060517,0.064775,0.026967,0.059927,0.063920,0.028252,0.063401,0.067718
0.026762,0.054953,0.060427,0.027635,0.057722,0.067014,0.027298,0.060305,0.063066
0.028719,0.059089,0.062748,0.027298,0.054809,0.059820,0.027493,0.057041,0.059779
0.026407,0.059539,0.063779,0.027921,0.058881,0.065295,0.026313,0.056415,0.061797
0.026497,0.058754,0.061531,0.027502,0.060877,0.064963,0.025566,0.059842,0.064803
0.027749,0.058325,0.062156,0.026047,0.057557,0.063024,0.026937,0.061004,0.067077
0.026578,0.056240,0.061601,0.027917,0.056806,0.060477,0.028368,0.060279,0.060148
0.027428,0.057097,0.060364,0.027995,0.059576,0.065381,0.028700,0.057830,0.065139
0.027323,0.061298,0.065116,0.027233,0.058778,0.061553,0.029962,0.062979,0.067532
0.029810,0.059674,0.062703,0.027828,0.060129,0.065674,0.025964,0.063479,0.067594
0.029393,0.060417,0.064979,0.027124,0.058640,0.065504,0.026926,0.062109,0.062590
0.027884,0.061200,0.065805,0.029245,0.055097,0.063017,0.026367,0.061299,0.063008
0.027278,0.058164,0.063069,0.028713,0.056661,0.062589,0.029112,0.055988,0.060562
0.028161,0.058687,0.067006,0.027013,0.055932,0.062554,0.027994,0.063128,0.065603
0.028575,0.054712,0.061264,0.026859,0.059066,0.062446,0.028386,0.058588,0.060908
0.029323,0.060753,0.065929,0.027881,0.055238,0.063497,0.028953,0.061006,0.065528
0.027074,0.061510,0.068681,0.027018,0.059364,0.066056,0.025164,0.057766,0.063060
0.027737,0.056214,0.058786,0.030209,0.061604,0.068800,0.031623,0.067261,0.069513
0.029221,0.060211,0.064631,0.025674,0.057881,0.063664,0.029243,0.065208,0.068076
0.025870,0.057230,0.062890,0.028097,0.058562,0.063689,0.027552,0.060912,0.063285
0.026581,0.056400,0.060941,0.027605,0.054547,0.059084,0.025855,0.058019,0.062435
0.026987,0.060068,0.059600,0.026911,0.052967,0.058608,0.026253,0.056195,0.061440
0.027030,0.060049,0.063416,0.026606,0.056781,0.061213,0.026998,0.061123,0.064247
0.026818,0.059496,0.063142,0.025636,0.057123,0.060169,0.027093,0.059065,0.062507
0.028559,0.055321,0.058793,0.026819,0.052085,0.056322,0.025756,0.059330,0.063663
0.026962,0.054148,0.059505,0.027536,0.058111,0.064321,0.027147,0.061391,0.066211
0.026872,0.055225,0.061621,0.026188,0.059162,0.066466,0.028580,0.061161,0.065094
0.026071,0.061844,0.067386,0.024055,0.052578,0.059466,0.027421,0.064015,0.066407
0.027230,0.055521,0.061495,0.029684,0.059688,0.063663,0.027548,0.060618,0.063874
0.029559,0.061598,0.067982,0.026614,0.056417,0.061853,0.027091,0.062246,0.066050
0.027467,0.066029,0.066251,0.028073,0.054056,0.060598,0.028204,0.060609,0.065090
0.027379,0.059241,0.063585,0.028257,0.055995,0.061597,0.026154,0.060121,0.061404
0.027615,0.059152,0.065247,0.030595,0.057250,0.062705,0.027065,0.061343,0.062206
0.026692,0.059805,0.061828,0.025849,0.058720,0.060580,0.026873,0.059378,0.065262
0.028361,0.065633,0.067889,0.027264,0.057687,0.063110,0.026045,0.062701,0.064850
0.025755,0.061806,0.064724,0.026788,0.056372,0.065474,0.027225,0.060235,0.062353
0.025632,0.055596,0.060000,0.027374,0.059398,0.067514,0.027871,0.064714,0.067841
0.026418,0.054827,0.062010,0.028532,0.060808,0.065606,0.027554,0.059732,0.063211
0.026589,0.061969,0.062895,0.028202,0.057427,0.060854,0.028210,0.060921,0.066203
0.027392,0.058259,0.061584,0.024659,0.055533,0.063005,0.027653,0.063784,0.068402
0.027606,0.061543,0.064997,0.028062,0.060705,0.066734,0.027509,0.059428,0.062003
0.026674,0.058752,0.063606,0.028864,0.057762,0.066029,0.027900,0.059898,0.062477
0.028430,0.059269,0.063725,0.029579,0.055128,0.062586,0.029448,0.062761,0.065377
0.026502,0.057754,0.062401,0.027758,0.054647,0.061648,0.025933,0.061728,0.065260
0.029183,0.062337,0.066150,0.027273,0.058751,0.066697,0.027666,0.063889,0.070298
0.028679,0.062990,0.065789,0.027589,0.061128,0.065331,0.028769,0.061201,0.064764
0.025958,0.059055,0.065167,0.028541,0.055908,0.061420,0.027158,0.063362,0.064786
0.026989,0.060557,0.065066,0.026363,0.054397,0.062151,0.027145,0.060062,0.062541
0.031074,0.063509,0.066882,0.030612,0.062085,0.067244,0.027473,0.055583,0.062337
0.026631,0.055687,0.064546,0.025488,0.051609,0.056629,0.026741,0.060388,0.062273
0.028764,0.058559,0.062709,0.026731,0.059212,0.064743,0.027505,0.061164,0.064912
0.025910,0.059097,0.063775,0.026796,0.058832,0.067672,0.027252,0.062774,0.066809
0.028945,0.062918,0.064743,0.028149,0.059892,0.065717,0.029814,0.069698,0.071965
0.028090,0.062633,0.061151,0.026692,0.054794,0.059969,0.027025,0.061633,0.062667
0.030034,0.061703,0.066376,0.027158,0.056499,0.065635,0.026773,0.062659,0.064972
0.026056,0.056124,0.062428,0.025472,0.055159,0.059925,0.028708,0.061206,0.066654
0.026948,0.060629,0.065422,0.027399,0.057753,0.062646,0.027684,0.060647,0.062785
0.030797,0.060655,0.062543,0.028934,0.060030,0.066849,0.028445,0.059173,0.060549
0.026131,0.060311,0.063521,0.028685,0.059215,0.067315,0.027309,0.061706,0.066955
0.026162,0.061993,0.063243,0.025165,0.055299,0.062719,0.028289,0.062115,0.063827
0.027601,0.062776,0.066466,0.026989,0.055810,0.062255,0.029636,0.061433,0.064234
0.026361,0.058757,0.063094,0.026544,0.059149,0.061533,0.026498,0.062363,0.067159
0.027858,0.060433,0.064232,0.025738,0.053990,0.061194,0.026393,0.061868,0.065272
0.029407,0.059810,0.064906,0.026907,0.057520,0.063425,0.029208,0.061638,0.064171
0.028031,0.056653,0.060980,0.028960,0.060115,0.064224,0.029568,0.064970,0.067936
