pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-1.378622,0.211732,2.635757,-1.497611,0.858038,2.381767,-1.268144,-0.182438,2.565241
-1.377546,0.209274,2.635513,-1.496680,0.855964,2.381970,-1.268653,-0.182543,2.564803
-1.376476,0.206820,2.635266,-1.495743,0.853880,2.382144,-1.269155,-0.182649,2.564369
-1.375413,0.204370,2.635016,-1.494800,0.851787,2.382288,-1.269652,-0.182756,2.563937
-1.374357,0.201923,2.634763,-1.493852,0.849684,2.382402,-1.270143,-0.182864,2.563509
-1.373308,0.199481,2.634506,-1.492898,0.847571,2.382486,-1.270628,-0.182973,2.563083
-1.372265,0.197043,2.634247,-1.491938,0.845449,2.382540,-1.271108,-0.183083,2.562660
-1.371230,0.194608,2.633984,-1.490973,0.843318,2.382564,-1.271582,-0.183195,2.562240
-1.370201,0.192178,2.633718,-1.490001,0.841177,2.382559,-1.272050,-0.183308,2.561823
-1.369179,0.189752,2.633449,-1.489024,0.839026,2.382523,-1.272513,-0.183422,2.561409
-1.368164,0.187329,2.633176,-1.488042,0.836866,2.382458,-1.272970,-0.183537,2.560998
-1.367156,0.184910,2.632901,-1.487053,0.834697,2.382363,-1.273421,-0.183653,2.560590
-1.366154,0.182496,2.632622,-1.486058,0.832518,2.382238,-1.273866,-0.183770,2.560185
-1.365160,0.180085,2.632341,-1.485058,0.830329,2.382083,-1.274306,-0.183889,2.559783
-1.364172,0.177678,2.632056,-1.484052,0.828131,2.381899,-1.274740,-0.184008,2.559383
-1.363191,0.175275,2.631768,-1.483041,0.825923,2.381684,-1.275168,-0.184129,2.558987
-1.362217,0.172877,2.631476,-1.482023,0.823706,2.381440,-1.275591,-0.184251,2.558593
-1.361249,0.170482,2.631182,-1.481000,0.821479,2.381165,-1.276007,-0.184375,2.558203
-1.360289,0.168091,2.630885,-1.479971,0.819243,2.380861,-1.276419,-0.184499,2.557815
-1.359335,0.165704,2.630584,-1.478936,0.816997,2.380527,-1.276824,-0.184624,2.557430
-1.358388,0.163320,2.630280,-1.477896,0.814741,2.380164,-1.277224,-0.184751,2.557048
-1.357448,0.160941,2.629973,-1.476850,0.812477,2.379770,-1.277618,-0.184879,2.556669
-1.356515,0.158566,2.629663,-1.475798,0.810202,2.379347,-1.278006,-0.185008,2.556293
-1.355589,0.156195,2.629349,-1.474740,0.807918,2.378893,-1.278388,-0.185138,2.555920
-1.354669,0.153827,2.629033,-1.473676,0.805625,2.378410,-1.278765,-0.185269,2.555550
-1.353757,0.151464,2.628713,-1.472607,0.803322,2.377897,-1.279136,-0.185402,2.555183
-1.352851,0.149105,2.628390,-1.471532,0.801009,2.377354,-1.279502,-0.185535,2.554819
-1.351952,0.146749,2.628064,-1.470451,0.798687,2.376781,-1.279862,-0.185670,2.554457
-1.351060,0.144398,2.627735,-1.469364,0.796355,2.376179,-1.280216,-0.185806,2.554099
-1.350174,0.142050,2.627403,-1.468272,0.794014,2.375546,-1.280564,-0.185943,2.553744
-1.349296,0.139706,2.627067,-1.467174,0.791663,2.374884,-1.280906,-0.186081,2.553391
-1.348424,0.137366,2.626728,-1.466070,0.789303,2.374192,-1.281243,-0.186221,2.553041
