pt1_X,pt1_Y,pt1_Z,,,,,,
-1.368899,0.177504,2.639189,-1.497164,0.824505,2.379246,-1.281405,-0.204162,2.534539
-1.368392,0.176362,2.638182,-1.490766,0.828950,2.389755,-1.272250,-0.177860,2.560539
-1.367930,0.176588,2.638360,-1.490613,0.827609,2.388745,-1.272693,-0.178112,2.560957
-1.367548,0.175731,2.637844,-1.489992,0.827138,2.388240,-1.272287,-0.178213,2.560674
-1.366951,0.174912,2.636868,-1.489579,0.826757,2.387219,-1.272690,-0.178898,2.559583
-1.366482,0.175171,2.637238,-1.489336,0.823267,2.380692,-1.272031,-0.177873,2.561447
-1.365442,0.175244,2.637231,-1.488351,0.823711,2.380432,-1.272518,-0.177106,2.562204
-1.365362,0.174589,2.636767,-1.488116,0.818775,2.378939,-1.272130,-0.177705,2.560656
-1.365295,0.173866,2.635920,-1.487181,0.816543,2.377083,-1.272740,-0.179019,2.560742
-1.364705,0.174257,2.636086,-1.485983,0.815472,2.377269,-1.272265,-0.177588,2.561409
-1.364269,0.173872,2.635531,-1.485272,0.816596,2.378157,-1.272992,-0.177181,2.562501
-1.363753,0.173692,2.635163,-1.484888,0.817084,2.376275,-1.272295,-0.179160,2.559636
-1.363532,0.172885,2.634387,-1.483224,0.819584,2.378434,-1.272685,-0.178470,2.560463
-1.363196,0.172945,2.634578,-1.481735,0.821443,2.380599,-1.272706,-0.178182,2.560572
-1.362445,0.173286,2.635005,-1.479385,0.825584,2.382058,-1.272434,-0.178559,2.560355
-1.361271,0.170960,2.633365,-1.478519,0.826639,2.383332,-1.272405,-0.177899,2.561283
-1.360922,0.168103,2.631445,-1.477001,0.825021,2.381177,-1.272482,-0.179073,2.560827
-1.360393,0.167990,2.631459,-1.476448,0.825137,2.382332,-1.272973,-0.178683,2.560137
-1.359862,0.166154,2.630170,-1.475623,0.822029,2.379551,-1.273018,-0.178627,2.560198
-1.358869,0.165406,2.629711,-1.474275,0.822317,2.380194,-1.272914,-0.179113,2.560341
-1.358501,0.163988,2.628986,-1.473435,0.820285,2.378958,-1.272575,-0.178425,2.560348
-1.357655,0.163740,2.629331,-1.473377,0.817500,2.375230,-1.272820,-0.178353,2.561216
-1.356938,0.164188,2.630340,-1.473368,0.816012,2.372769,-1.272642,-0.178133,2.561088
-1.356454,0.160762,2.627235,-1.473318,0.814715,2.371501,-1.272860,-0.178563,2.560061
-1.355998,0.160845,2.628079,-1.473126,0.811016,2.368890,-1.272318,-0.178530,2.561002
-1.355777,0.160422,2.627983,-1.472926,0.805827,2.363817,-1.272937,-0.178381,2.560570
