pt1_dltres,pt2_dltres,pt3_dltres
0.040678,0.040313,0.065500
0.042632,0.117720,0.038353
0.050919,0.120310,0.060995
0.038940,0.105119,0.059938
0.029064,0.063067,0.083185
0.030536,0.251610,0.051636
0.027219,0.205207,0.051030
0.029129,0.049279,0.081509
0.044667,0.059835,0.057161
0.058774,0.117815,0.071731
0.054978,0.130331,0.015658
0.081346,0.063149,0.045613
0.086533,0.082915,0.065276
0.089000,0.072919,0.074623
0.085942,0.112633,0.074882
0.035025,0.105002,0.079861
0.011659,0.169271,0.059953
0.001082,0.123710,0.046410
0.042684,0.147147,0.032869
0.049910,0.146539,0.088265
0.049441,0.136784,0.041072
0.064214,0.115984,0.055498
0.056554,0.084345,0.067723
0.082058,0.095184,0.096380
0.079224,0.170178,0.074710
0.085120,0.213532,0.055670
0.091722,0.144229,0.073293
0.062707,0.166391,0.076897
0.047870,0.184373,0.077703
0.068023,0.169503,0.062140
0.061657,0.408612,0.005850
0.038386,0.359134,0.350937
0.021561,0.270146,0.298697
0.000349,0.263144,0.094154
0.008554,0.316457,0.048913
0.002393,0.369769,0.057979
0.056078,0.297061,0.126497
0.075309,0.317662,0.128246
0.088723,0.148231,0.099241
0.097309,0.044364,0.124748
0.099924,0.019994,0.122216
0.098271,0.108294,0.118900
0.109877,0.161252,0.112086
0.108668,0.079399,0.125787
0.369437,0.314302,0.123255
0.400965,0.355146,0.128320
0.436955,0.316972,0.093466
0.425942,0.356608,0.109627
0.434822,0.382445,0.116441
0.366255,0.362115,0.089184
0.357703,0.367260,0.095998
0.333936,0.288419,0.020310
0.304131,0.321393,0.007465
0.194396,0.385526,0.011746
0.178385,0.404821,0.018561
0.085286,0.412801,0.053864
0.042288,0.428757,0.028356
0.013911,0.438054,0.001434
0.081972,0.467683,0.031244
0.073515,0.473174,0.076431
0.020577,0.459491,0.092592
0.024997,0.351355,0.076431
0.044286,0.216914,0.117317
0.023125,0.239883,0.121598
0.014467,0.220860,0.159952
0.009809,0.278328,0.221891
0.259286,0.364578,0.496220
0.316278,0.374330,0.503035
0.301307,0.433104,0.600204
0.302537,0.495571,0.657080
0.257492,0.592987,0.728368
0.215011,0.493975,0.809003
0.175821,0.483676,0.833730
0.071728,0.398912,0.850859
0.085732,0.320714,1.136335
0.022705,0.333782,1.303343
0.072808,0.288519,1.237675
0.065519,0.177930,1.284413
0.057155,0.128492,1.245272
0.141267,0.267520,0.485972
0.383774,0.278009,0.458571
0.386870,0.438668,0.458571
0.329609,0.357638,0.458571
0.341873,0.393851,0.486051
0.327337,0.267060,0.240648
0.347214,0.246292,0.195739
0.294844,0.190180,0.068555
0.276458,0.287993,0.278603
0.246127,0.243106,0.278603
0.276662,0.355095,0.187319
0.257589,0.352196,0.187319
0.254564,0.372191,0.059559
0.186393,0.346447,0.059559
0.169310,0.388484,0.032219
0.202199,0.586904,0.023224
0.160674,0.471837,0.223305
0.122719,0.447438,0.314511
0.094132,0.438531,0.287108
0.314149,0.229471,0.432776
0.269397,0.052075,0.569536
0.249259,0.007044,0.514727
0.247045,0.142159,0.514727
0.225099,0.002899,0.514727
0.218586,0.053967,0.514727
0.250332,0.059542,0.514727
0.203835,0.126807,0.587605
0.196955,0.155634,0.314859
0.126549,0.192795,0.379254
0.103800,0.240838,0.160893
0.090528,0.264925,0.133485
0.053070,0.277663,0.133485
0.086613,0.220144,0.060600
0.064543,0.257302,0.088008
0.070827,0.217844,0.495944
0.030167,0.054893,1.007020
0.002847,0.060913,0.151522
0.008180,0.019117,0.206312
0.047253,0.004854,0.206312
0.077768,0.033571,0.206312
0.128616,0.014224,0.206312
0.196774,0.171510,0.206312
0.279221,0.138526,0.206312
0.305507,0.059485,0.206312
0.297901,0.055215,0.206312
0.291859,0.136489,0.224294
0.287738,0.050622,0.224294
0.287738,0.106653,0.160411
0.307031,0.118699,0.160411
0.322401,0.232654,0.515381
0.342486,0.300608,0.433188
0.343983,0.384845,0.651561
0.338667,0.380940,0.760747
0.337628,0.295580,0.760747
0.360844,0.100892,0.760747
0.374094,0.218914,0.760747
0.369462,0.223079,0.760747
0.340623,0.223079,0.760747
0.338394,0.202692,0.760747
0.289483,0.258337,0.760747
0.280441,0.702495,0.651561
0.248910,0.837486,0.651561
0.213626,0.732379,0.651561
0.183877,0.854341,0.596766
0.124694,0.663082,0.596766
0.092676,0.608110,0.624163
0.062887,0.446417,0.642151
0.061144,0.298340,0.642151
0.056073,0.209800,0.451174
0.057221,0.216599,0.159988
0.068072,0.149987,0.132494
0.072548,0.049650,0.094930
0.093781,0.050686,0.012494
0.068515,0.151021,0.124833
0.074864,0.144640,0.162346
0.024253,0.178773,0.463789
0.101962,0.206118,0.692376
0.134287,0.220255,0.820144
0.025198,0.174051,0.930583
