pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
292.922071,582.034909,271.504587,395.567530,286.128361,552.857678,289.059637,365.925979,299.497356,591.041664,264.920755,405.258353
292.980000,582.000000,271.970000,395.980000,286.128361,552.857678,288.959695,365.925979,298.960000,591.030000,265.000000,405.000000
292.970000,581.990000,271.940000,395.970000,286.128361,552.857678,288.859753,366.074021,298.980000,591.020000,265.010000,405.020000
292.940000,581.970000,271.910000,395.940000,286.061733,553.055068,288.859753,366.074021,299.000000,591.040000,265.010000,405.010000
292.910000,581.950000,271.890000,395.920000,286.061733,553.055068,288.859753,366.074021,298.980000,591.000000,265.010000,405.020000
292.870000,581.930000,271.890000,395.880000,286.061733,553.153763,288.859753,366.222063,298.990000,591.020000,264.990000,405.000000
292.830000,581.910000,271.880000,395.830000,286.061733,553.252457,288.659870,366.370106,298.970000,591.020000,265.010000,405.010000
292.800000,581.890000,271.880000,395.790000,285.995105,553.548542,288.459986,366.370106,299.020000,591.020000,264.990000,405.010000
292.780000,581.840000,271.900000,395.740000,285.995105,553.548542,288.160160,366.222063,298.980000,591.010000,265.000000,405.020000
292.760000,581.810000,271.920000,395.680000,285.995105,553.647237,288.160160,365.777937,299.010000,591.020000,264.990000,405.000000
292.740000,581.770000,271.920000,395.640000,285.995105,553.647237,288.160160,365.777937,298.980000,591.030000,264.990000,405.000000
292.740000,581.790000,271.910000,395.640000,285.928477,553.647237,288.160160,365.777937,298.990000,591.030000,264.990000,405.010000
292.730000,581.810000,271.890000,395.660000,285.928477,553.647237,288.160160,365.481852,299.000000,591.020000,265.010000,405.010000
292.750000,581.850000,271.850000,395.660000,285.861849,553.647237,288.160160,365.333810,298.970000,591.020000,265.000000,405.010000
292.800000,581.870000,271.850000,395.730000,285.395454,553.153763,288.160160,365.333810,298.970000,591.010000,264.990000,405.010000
292.760000,581.920000,271.800000,395.790000,285.328826,553.153763,288.160160,365.333810,299.000000,591.030000,264.990000,405.010000
292.780000,581.960000,271.790000,395.850000,285.328826,553.153763,288.160160,365.333810,298.990000,591.030000,265.000000,405.000000
292.830000,582.000000,271.750000,395.890000,285.328826,553.252457,288.160160,365.333810,298.990000,591.030000,265.000000,405.010000
292.860000,582.030000,271.720000,395.940000,285.328826,553.252457,287.860335,365.333810,298.990000,591.020000,264.990000,405.010000
292.890000,582.060000,271.670000,395.970000,285.328826,553.351152,287.760393,365.185768,298.970000,591.040000,265.010000,405.010000
292.900000,582.060000,271.670000,396.010000,285.328826,553.351152,287.760393,364.889683,298.980000,591.020000,264.990000,405.030000
292.970000,582.100000,271.670000,396.030000,285.328826,553.449847,287.660451,364.741641,298.990000,591.000000,264.990000,405.020000
293.000000,582.150000,271.660000,396.080000,284.462663,553.252457,287.560509,364.741641,298.990000,591.010000,264.970000,405.010000
293.040000,582.220000,271.630000,396.130000,284.595919,553.252457,287.460568,364.593599,298.970000,590.990000,264.960000,405.020000
293.090000,582.290000,271.660000,396.220000,284.795802,553.449847,287.360626,364.593599,298.970000,591.020000,264.950000,405.030000
293.120000,582.380000,271.640000,396.310000,284.995686,553.745932,287.260684,364.593599,298.950000,590.990000,264.940000,405.040000
293.130000,582.470000,271.650000,396.440000,285.062314,553.745932,287.260684,364.593599,299.010000,591.000000,264.940000,405.050000
293.240000,582.890000,271.660000,396.860000,284.729175,553.647237,287.260684,364.741641,298.980000,590.980000,264.930000,405.070000
293.280000,582.930000,271.700000,396.930000,284.729175,553.647237,287.160742,365.037726,298.980000,590.980000,264.930000,405.080000
293.330000,582.960000,271.770000,396.980000,284.795802,553.844626,287.060800,365.185768,298.970000,590.990000,264.900000,405.110000
293.480000,582.970000,271.830000,397.020000,284.862430,553.943321,287.060800,365.481852,298.990000,590.980000,264.920000,405.130000
293.660000,583.020000,271.900000,397.060000,284.862430,553.943321,286.860916,365.629894,298.980000,590.960000,264.880000,405.130000
293.760000,583.050000,271.950000,397.130000,284.862430,553.943321,286.860916,365.777937,299.010000,590.980000,264.880000,405.140000
293.800000,583.110000,271.960000,397.230000,284.862430,554.042016,286.461149,366.370106,299.040000,590.970000,264.890000,405.160000
293.890000,583.210000,272.050000,397.400000,284.862430,554.140711,286.361207,366.666190,299.030000,591.000000,264.890000,405.150000
293.980000,583.350000,272.090000,398.010000,284.529291,553.943321,286.261265,366.666190,299.090000,591.000000,264.900000,405.100000
294.030000,583.430000,272.190000,398.550000,284.396035,553.745932,286.261265,366.666190,299.090000,590.990000,264.950000,405.070000
294.150000,583.930000,272.200000,398.780000,284.329407,553.745932,286.061382,366.814232,299.090000,591.000000,264.980000,405.030000
294.260000,584.000000,272.210000,398.900000,284.529291,554.140711,285.961440,367.110317,299.130000,591.020000,265.010000,405.010000
294.400000,584.080000,272.220000,399.000000,284.662547,554.732880,285.961440,367.258359,299.150000,591.040000,265.030000,405.000000
294.670000,584.170000,272.250000,399.120000,284.662547,554.831574,285.661614,368.146612,299.160000,591.030000,265.040000,405.010000
294.800000,584.300000,272.270000,399.250000,284.729175,554.831574,285.561672,368.294654,299.190000,591.050000,265.060000,405.000000
294.910000,584.450000,272.220000,399.490000,284.795802,555.127659,285.361789,368.442697,299.170000,591.050000,265.050000,405.000000
