pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.023190,0.057364,0.061210,0.020755,0.054737,0.062136,0.020811,0.055164,0.060682
0.021533,0.057697,0.058254,0.023019,0.062203,0.065121,0.022962,0.062691,0.063046
0.021954,0.056418,0.060615,0.022428,0.054877,0.061165,0.022140,0.062927,0.060330
0.022879,0.061922,0.066823,0.023256,0.057483,0.062867,0.025502,0.062025,0.066413
0.022265,0.057941,0.058192,0.024032,0.056391,0.062350,0.022643,0.059730,0.061911
0.021305,0.057422,0.061384,0.023050,0.057450,0.064193,0.022437,0.064923,0.065294
0.022799,0.056400,0.060738,0.023740,0.059638,0.066415,0.022578,0.062426,0.064903
0.021261,0.058489,0.059660,0.023441,0.056191,0.059941,0.023032,0.062779,0.064993
0.023580,0.058959,0.063102,0.023001,0.057009,0.064350,0.023036,0.057281,0.059726
0.022340,0.058501,0.059583,0.023127,0.055185,0.058957,0.022750,0.061605,0.064654
0.020527,0.058620,0.062917,0.023744,0.061014,0.066957,0.024668,0.062817,0.064970
0.022274,0.061106,0.062509,0.021903,0.057169,0.065717,0.024140,0.060650,0.062941
0.022373,0.060437,0.063116,0.023834,0.055465,0.061692,0.021756,0.058418,0.063612
0.022374,0.060878,0.064698,0.022406,0.054126,0.060297,0.024123,0.062783,0.064313
0.021157,0.059766,0.062044,0.023067,0.056242,0.060106,0.024223,0.056179,0.058666
0.022418,0.057087,0.061715,0.021454,0.058277,0.066054,0.024233,0.061088,0.063300
0.021170,0.061967,0.068315,0.020580,0.057917,0.062394,0.022733,0.060964,0.064268
0.022900,0.063784,0.065957,0.023615,0.054828,0.063527,0.024101,0.059764,0.063164
0.023081,0.058985,0.063764,0.022388,0.056207,0.061678,0.021778,0.059653,0.063620
0.021808,0.057254,0.059279,0.022394,0.055258,0.060498,0.024376,0.061019,0.063717
0.022358,0.054461,0.057531,0.022415,0.056941,0.060404,0.024133,0.058868,0.060276
0.022334,0.063691,0.063808,0.025674,0.056961,0.060867,0.022405,0.060249,0.061348
0.021660,0.057052,0.060700,0.024004,0.058217,0.063639,0.022365,0.057995,0.059129
0.022249,0.060534,0.066408,0.022618,0.058701,0.065384,0.022265,0.061748,0.062776
0.023097,0.063359,0.066800,0.022231,0.061116,0.064796,0.022418,0.057137,0.060293
0.022389,0.056976,0.060777,0.022148,0.055607,0.062100,0.024354,0.059049,0.058007
0.023505,0.059849,0.061861,0.022321,0.057919,0.061734,0.021599,0.058714,0.062686
0.023015,0.068634,0.072446,0.021728,0.052872,0.060731,0.023725,0.062949,0.064585
0.022606,0.058471,0.062810,0.021616,0.058943,0.064800,0.022961,0.061897,0.065630
0.022020,0.059526,0.061364,0.022487,0.058494,0.066665,0.021449,0.065922,0.066835
0.022285,0.060360,0.066532,0.023140,0.054734,0.059878,0.023166,0.060388,0.062350
0.022613,0.063134,0.067160,0.023601,0.054392,0.058585,0.022989,0.059771,0.062379
0.023683,0.057319,0.060730,0.023960,0.056884,0.062729,0.023266,0.068719,0.071839
0.021618,0.056636,0.062897,0.022952,0.055692,0.061965,0.022861,0.063103,0.066133
0.022082,0.060641,0.064023,0.022698,0.056561,0.062303,0.022175,0.057420,0.061512
0.021117,0.060604,0.065382,0.021934,0.055046,0.062673,0.023467,0.064193,0.066087
0.022673,0.059947,0.065907,0.022987,0.058799,0.065630,0.023360,0.064536,0.067824
0.024227,0.054120,0.058329,0.022734,0.057720,0.062979,0.023518,0.060704,0.065127
0.021762,0.060876,0.061502,0.021015,0.057884,0.060489,0.021919,0.065905,0.069765
0.022103,0.057846,0.061971,0.022261,0.056802,0.061225,0.022587,0.056926,0.059643
0.019577,0.061386,0.065961,0.021790,0.059676,0.062369,0.021574,0.068033,0.069877
0.022860,0.061011,0.064431,0.023411,0.055072,0.059068,0.022937,0.060360,0.063974
0.022236,0.059706,0.063132,0.023646,0.061880,0.068635,0.023296,0.057371,0.061576
0.023347,0.058999,0.062048,0.023253,0.058733,0.065797,0.023744,0.063109,0.068362
0.022673,0.060020,0.064086,0.020007,0.059457,0.065698,0.023713,0.057148,0.060507
0.024201,0.057011,0.063092,0.022086,0.060309,0.062367,0.023037,0.067741,0.069844
0.023503,0.056945,0.057764,0.023648,0.061750,0.063718,0.023131,0.062351,0.066599
0.021983,0.062444,0.064613,0.021831,0.054549,0.060375,0.022922,0.059931,0.061546
0.023496,0.062867,0.061858,0.024077,0.054762,0.060187,0.023178,0.055176,0.059608
0.022802,0.055767,0.056510,0.022267,0.058975,0.060430,0.022131,0.062960,0.065919
0.022043,0.062117,0.063449,0.021534,0.060552,0.064889,0.024185,0.058324,0.062115
0.020831,0.059371,0.061031,0.022432,0.058036,0.065422,0.023616,0.061404,0.063426
0.023304,0.063061,0.066845,0.021352,0.059043,0.067406,0.023417,0.061396,0.065297
0.023111,0.060632,0.060931,0.022296,0.062242,0.065706,0.022885,0.062113,0.069059
0.022725,0.060361,0.064150,0.023792,0.064499,0.069165,0.021869,0.062601,0.063604
0.022093,0.059947,0.061719,0.024169,0.057658,0.063285,0.022696,0.064962,0.069052
0.023006,0.062659,0.063875,0.023037,0.059668,0.063806,0.024283,0.058317,0.063235
0.022443,0.060613,0.068485,0.022162,0.060566,0.065366,0.023106,0.062554,0.062137
0.023001,0.062100,0.064556,0.021872,0.056467,0.061697,0.023257,0.061513,0.062141
0.021683,0.060392,0.060560,0.022859,0.057264,0.065977,0.022078,0.059692,0.064260
0.022014,0.063046,0.067275,0.021849,0.060025,0.066529,0.022207,0.066176,0.067144
0.022824,0.056974,0.061108,0.023769,0.058962,0.061825,0.024051,0.062401,0.061857
0.021854,0.057844,0.059010,0.022322,0.058002,0.064915,0.023964,0.066006,0.068157
0.022849,0.063423,0.067040,0.021388,0.057644,0.060402,0.022751,0.061332,0.060770
