pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
11.928415,0.555436,2.675413,11.758344,1.225563,2.391890,11.960085,0.125792,2.629197
11.927037,0.552744,2.677926,11.760174,1.223222,2.394961,11.959881,0.125534,2.628895
11.925662,0.550052,2.680414,11.761951,1.220871,2.397995,11.959680,0.125277,2.628592
11.924289,0.547359,2.682875,11.763674,1.218510,2.400992,11.959482,0.125021,2.628287
11.922918,0.544664,2.685310,11.765345,1.216140,2.403951,11.959287,0.124765,2.627981
11.921549,0.541969,2.687719,11.766962,1.213760,2.406873,11.959096,0.124509,2.627673
11.920182,0.539272,2.690102,11.768526,1.211370,2.409758,11.958907,0.124255,2.627364
11.918818,0.536575,2.692458,11.770037,1.208970,2.412605,11.958721,0.124001,2.627054
11.917456,0.533877,2.694788,11.771495,1.206561,2.415416,11.958539,0.123748,2.626742
11.916096,0.531177,2.697093,11.772899,1.204142,2.418188,11.958359,0.123495,2.626429
11.914738,0.528477,2.699370,11.774251,1.201713,2.420924,11.958183,0.123243,2.626114
11.913383,0.525775,2.701622,11.775549,1.199274,2.423622,11.958010,0.122991,2.625798
11.912030,0.523073,2.703848,11.776795,1.196826,2.426283,11.957840,0.122741,2.625481
11.910679,0.520369,2.706047,11.777987,1.194368,2.428906,11.957673,0.122491,2.625162
11.909331,0.517665,2.708220,11.779126,1.191900,2.431493,11.957509,0.122241,2.624842
11.907986,0.514959,2.710367,11.780212,1.189422,2.434041,11.957348,0.121992,2.624521
11.906644,0.512253,2.712488,11.781246,1.186935,2.436553,11.957191,0.121744,2.624198
11.905305,0.509545,2.714582,11.782226,1.184438,2.439027,11.957036,0.121497,2.623874
11.903969,0.506837,2.716651,11.783154,1.181931,2.441464,11.956884,0.121250,2.623548
11.902637,0.504127,2.718693,11.784030,1.179414,2.443864,11.956736,0.121004,2.623221
11.901309,0.501417,2.720709,11.784853,1.176888,2.446226,11.956591,0.120758,2.622893
11.899986,0.498705,2.722699,11.785623,1.174352,2.448551,11.956449,0.120513,2.622563
11.898667,0.495992,2.724662,11.786342,1.171806,2.450839,11.956309,0.120269,2.622232
11.897353,0.493279,2.726600,11.787008,1.169251,2.453089,11.956173,0.120025,2.621900
11.896045,0.490564,2.728511,11.787623,1.166685,2.455302,11.956041,0.119782,2.621566
11.894743,0.487848,2.730396,11.788186,1.164110,2.457478,11.955911,0.119540,2.621230
11.893448,0.485132,2.732255,11.788698,1.161525,2.459616,11.955784,0.119298,2.620894
11.892161,0.482414,2.734087,11.789160,1.158931,2.461717,11.955661,0.119057,2.620556
11.890882,0.479695,2.735894,11.789571,1.156326,2.463781,11.955540,0.118816,2.620216
11.889612,0.476976,2.737674,11.789932,1.153712,2.465807,11.955423,0.118577,2.619876
11.888351,0.474255,2.739428,11.790243,1.151089,2.467796,11.955308,0.118337,2.619533
11.887102,0.471533,2.741156,11.790505,1.148455,2.469748,11.955197,0.118099,2.619190
11.885864,0.468810,2.742858,11.790719,1.145812,2.471662,11.955089,0.117861,2.618845
11.884639,0.466087,2.744533,11.790885,1.143159,2.473539,11.954984,0.117624,2.618498
11.883428,0.463362,2.746182,11.791003,1.140496,2.475379,11.954882,0.117387,2.618151
11.882231,0.460636,2.747805,11.791075,1.137823,2.477181,11.954783,0.117151,2.617802
11.881050,0.457909,2.749402,11.791100,1.135141,2.478947,11.954688,0.116916,2.617451
11.879887,0.455181,2.750973,11.791081,1.132449,2.480674,11.954595,0.116681,2.617099
11.878742,0.452452,2.752518,11.791017,1.129747,2.482365,11.954505,0.116447,2.616746
11.877617,0.449723,2.754036,11.790910,1.127036,2.484018,11.954419,0.116214,2.616391
11.876512,0.446992,2.755528,11.790761,1.124315,2.485634,11.954336,0.115981,2.616035
11.875430,0.444260,2.756994,11.790570,1.121584,2.487212,11.954256,0.115749,2.615678
11.874372,0.441527,2.758434,11.790338,1.118843,2.488754,11.954178,0.115518,2.615319
11.873339,0.438793,2.759847,11.790068,1.116092,2.490257,11.954104,0.115287,2.614959
11.872333,0.436058,2.761235,11.789759,1.113332,2.491724,11.954033,0.115057,2.614598
11.871355,0.433322,2.762596,11.789414,1.110562,2.493153,11.953966,0.114827,2.614235
