pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
11.915351,0.503897,2.694186,11.751316,1.193284,2.442816,11.954221,0.105612,2.613044
11.906479,0.515123,2.710219,11.752735,1.19073,2.440314,11.957363,0.125696,2.627417
11.906989,0.514669,2.709473,11.753549,1.188432,2.440212,11.956987,0.125342,2.627228
11.907677,0.514869,2.708875,11.754482,1.190159,2.445106,11.956958,0.124593,2.62673
11.90818,0.515353,2.708689,11.754482,1.190159,2.445106,11.956936,0.125383,2.626937
11.908536,0.516661,2.708986,11.754138,1.190194,2.44892,11.957302,0.124416,2.626082
11.909079,0.517685,2.708871,11.75663,1.18512,2.447733,11.957089,0.125664,2.627376
11.909374,0.518656,2.708859,11.76066,1.18152,2.449043,11.957079,0.123406,2.62531
11.909284,0.519862,2.708445,11.765524,1.173598,2.439139,11.957108,0.125092,2.62683
11.909287,0.521006,2.708155,11.767595,1.172624,2.433372,11.957181,0.123729,2.625458
11.909471,0.521684,2.707547,11.767595,1.172624,2.433372,11.957388,0.124739,2.62654
11.909666,0.521378,2.707585,11.768008,1.174795,2.435435,11.957286,0.124417,2.626392
11.909985,0.521184,2.708007,11.769216,1.174297,2.430649,11.956907,0.124633,2.626439
11.910545,0.519372,2.706967,11.770233,1.17622,2.430321,11.957236,0.125394,2.627123
11.910004,0.517788,2.706848,11.77183,1.19249,2.437647,11.957357,0.125145,2.626725
11.910851,0.517827,2.708529,11.772243,1.19466,2.439709,11.957226,0.124073,2.626079
11.910729,0.516925,2.709212,11.772243,1.19466,2.439709,11.957181,0.124665,2.62648
11.910942,0.514184,2.707896,11.772501,1.194442,2.441129,11.95714,0.124687,2.626644
11.911065,0.51242,2.707465,11.776763,1.186778,2.433621,11.957261,0.124437,2.626246
11.911559,0.510088,2.70621,11.779048,1.183755,2.430144,11.95714,0.125623,2.627667
11.911334,0.509832,2.706551,11.780257,1.183257,2.425358,11.957238,0.124823,2.626886
11.910929,0.507432,2.70529,11.782541,1.180238,2.421886,11.957168,0.124499,2.62612
11.910813,0.506153,2.705646,11.788796,1.206317,2.443351,11.957528,0.123918,2.625595
11.910977,0.503966,2.705481,11.79,1.19918,2.434335,11.957703,0.124397,2.62584
11.910048,0.503107,2.707156,11.790704,1.189686,2.42849,11.957885,0.124087,2.626188
