pt1_dltres,pt2_dltres,pt3_dltres
0.135845,0.147045,0.083172
0.306091,0.170251,0.010026
0.315602,0.286474,0.004781
0.322926,0.150000,0.019334
0.334253,0.150000,0.019646
0.329879,0.169682,0.004725
0.321504,0.235770,0.000051
0.315644,0.072352,0.002839
0.319707,0.048935,0.014501
0.302606,0.303454,0.007671
0.310126,0.303454,0.010684
0.297554,0.293258,0.005853
0.301362,0.479285,0.004469
0.277835,0.562100,0.002237
0.299613,0.123980,0.011958
0.317661,0.113779,0.007326
0.325033,0.113779,0.014445
0.322235,0.187126,0.008141
0.333847,0.117518,0.001579
0.337456,0.260670,0.014916
0.361161,0.446678,0.015661
0.333609,0.589829,0.022749
0.325764,0.287279,0.013588
0.306156,0.377480,0.039991
0.296479,0.531605,0.026285
0.286389,0.759082,0.060121
0.297581,0.769283,0.050155
0.231253,0.551922,0.084335
0.230484,0.342729,0.090639
0.216179,0.383450,0.110456
0.197878,0.281006,0.122976
0.143094,0.141613,0.148465
0.138553,0.048611,0.135486
0.148707,0.342816,0.148820
0.147438,0.478657,0.121692
0.405095,0.699532,0.079045
0.655445,0.866646,0.056125
0.408612,1.016225,0.016612
0.413567,0.901383,0.023617
0.394042,0.533828,0.052307
0.355816,1.088069,0.042332
0.317235,1.194080,0.072495
0.352129,1.103180,0.067261
0.318556,1.131602,0.057285
0.297391,1.016845,0.028997
0.275546,0.879612,0.035359
0.275195,0.815745,0.021935
0.267071,0.825242,0.025437
0.274374,0.751882,0.093957
0.456497,0.751882,0.133270
0.431582,0.521635,0.142106
0.353327,0.475520,0.170526
0.146999,0.495201,0.195700
0.134195,0.484418,0.181474
0.371707,0.483797,0.107600
0.351613,0.715591,0.181639
0.365278,0.421576,0.436887
0.354622,0.533732,0.436887
0.342345,0.427083,0.436887
0.360649,0.799303,0.588093
0.587280,0.214893,0.436887
0.234383,0.098762,0.125032
0.174460,0.193445,0.057681
0.187246,0.120100,0.057681
0.220208,0.109968,0.057681
0.447002,0.375151,0.057681
0.363210,0.036157,0.198828
0.012893,0.203062,0.198828
0.025174,0.429270,0.198828
0.032997,0.522345,0.259955
0.009186,0.741317,0.259955
0.016905,0.566706,0.918361
0.232912,0.513631,0.661081
0.210067,0.989181,0.558636
0.058232,1.114565,0.497771
0.048275,1.230798,0.496764
0.017313,0.312929,0.468511
0.025459,0.046856,0.310147
0.003245,0.056967,0.292210
0.072112,0.245478,0.262314
0.359624,0.151940,0.274526
0.412459,0.064747,0.238401
0.333821,0.075040,0.087524
0.155651,0.138663,0.157491
0.215227,0.184921,0.113975
0.276625,0.241682,0.139352
0.620944,0.015439,0.163188
0.672744,0.087780,0.108787
0.488938,0.183830,0.146112
0.303229,0.113449,0.147556
0.332596,0.242725,0.122313
0.328643,0.037869,0.055489
0.288507,0.014747,0.025759
0.280890,0.091408,0.073119
0.019484,0.071224,0.015213
0.121536,0.070860,0.036479
0.343604,0.030761,0.197859
0.359109,0.010837,0.125182
0.366577,0.062476,0.077113
0.379657,0.082654,0.077113
0.388769,0.136149,0.208827
0.375958,0.010170,0.349981
0.488429,0.230107,0.349981
0.506906,0.084754,0.411114
0.521427,0.011439,0.542822
0.530778,0.004163,0.533377
0.542282,0.027273,0.603953
0.590330,0.143515,0.655637
0.680669,0.070198,0.777892
0.666300,0.079233,0.489265
0.574106,0.180350,0.691535
0.346022,0.499875,0.940618
0.327676,0.489795,1.039101
0.386130,0.559815,1.198536
0.381071,0.722960,1.319192
0.356070,0.722771,0.669766
0.092943,0.815893,0.086877
0.139867,0.221700,0.157453
0.175732,0.215828,0.237476
0.239550,0.382952,0.327863
0.382297,0.592956,0.149446
0.614084,0.842423,0.249282
0.597176,0.980308,0.366653
0.591978,0.304042,0.366653
0.622272,0.092063,0.385548
0.593423,0.161799,0.324418
0.577572,0.092443,0.263287
0.589281,0.255690,0.233946
0.608765,0.272704,0.233946
0.587037,0.519416,0.742463
0.520929,0.643008,0.516255
0.494240,0.973781,0.367185
