pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
843.647398,363.916094,824.190307,490.292181,830.969944,332.275460,831.408485,458.516733,857.156915,370.932042,829.541738,502.571335
844.160000,363.980000,824.120000,489.990000,831.070112,332.175292,831.568934,458.195836,857.156915,370.932042,829.541738,502.571335
844.390000,363.950000,824.270000,490.060000,831.020028,332.025042,831.568934,458.195836,857.156915,370.932042,829.541738,502.571335
844.810000,363.940000,824.540000,490.140000,831.120195,331.724540,831.568934,458.677181,857.156915,370.932042,829.541738,502.571335
844.990000,363.910000,824.980000,490.230000,831.170279,331.624373,831.568934,458.998078,857.156915,370.932042,829.541738,502.571335
845.190000,363.890000,825.020000,490.300000,831.370613,331.273788,832.531624,459.158526,857.156915,370.932042,829.541738,502.571335
845.460000,363.860000,825.130000,490.420000,832.823036,331.173621,832.210727,459.800319,857.156915,370.932042,829.541738,502.571335
845.840000,363.850000,825.300000,490.800000,832.973287,331.474123,832.050279,460.281665,857.156915,370.932042,829.541738,502.571335
846.000000,363.790000,825.480000,490.870000,832.973287,331.474123,833.494314,459.318974,857.156915,370.932042,829.541738,502.571335
846.190000,363.740000,825.880000,490.960000,833.173621,331.474123,833.815211,459.158526,857.156915,370.932042,829.541738,502.571335
846.420000,363.690000,826.080000,491.000000,833.424039,331.524206,834.296556,459.960768,857.156915,370.932042,829.541738,502.571335
846.780000,363.600000,826.410000,491.040000,834.175292,331.323872,834.296556,460.281665,857.102201,371.094137,829.541738,502.571335
847.000000,363.440000,826.880000,491.090000,834.375627,331.223705,834.617453,459.639871,857.102201,371.094137,829.668227,502.571335
847.230000,363.120000,827.050000,491.170000,834.726212,331.223705,835.259246,459.960768,857.102201,371.094137,829.731471,502.430810
847.540000,363.120000,827.210000,491.270000,835.176964,331.323872,835.419695,459.800319,857.102201,371.094137,829.731471,502.430810
847.880000,363.110000,827.570000,491.250000,835.327214,331.323872,835.419695,459.800319,857.102201,371.094137,829.731471,502.430810
848.090000,363.090000,827.930000,491.570000,835.427382,331.023371,835.740591,459.800319,857.102201,371.094137,829.731471,502.430810
848.330000,363.120000,828.100000,492.030000,835.777966,330.973287,836.061488,459.800319,857.102201,371.094137,829.731471,502.430810
848.770000,363.100000,828.290000,492.060000,835.828050,330.873120,836.703281,459.800319,857.156915,371.013090,829.731471,502.430810
848.980000,363.120000,828.520000,492.130000,836.078468,330.923203,836.542833,461.565252,857.156915,371.013090,829.731471,502.430810
849.220000,363.180000,828.970000,492.190000,836.278802,331.023371,836.703281,461.244355,857.156915,371.013090,829.731471,502.430810
849.540000,363.240000,829.140000,492.340000,836.729554,331.123538,837.024178,460.763010,857.156915,371.013090,829.731471,502.430810
849.860000,363.340000,829.330000,492.580000,836.829721,331.123538,837.505523,460.763010,857.156915,371.013090,829.763094,502.337127
850.050000,363.480000,829.700000,493.110000,837.230390,331.123538,837.986868,461.404803,857.156915,371.013090,829.763094,502.337127
850.230000,363.850000,829.630000,494.020000,837.731225,331.073454,838.307765,461.404803,857.156915,371.013090,829.763094,502.337127
850.550000,363.880000,829.690000,494.670000,838.131894,331.073454,838.628662,461.725700,857.156915,371.013090,829.826338,502.337127
850.810000,363.920000,829.800000,494.660000,838.332228,331.073454,838.789110,461.725700,857.156915,371.013090,829.826338,502.383969
851.080000,363.980000,829.940000,494.700000,838.482479,331.123538,839.110007,462.527942,857.156915,371.013090,829.826338,502.383969
851.400000,364.010000,830.020000,494.850000,838.482479,331.123538,839.591352,463.169735,857.156915,371.013090,829.826338,502.383969
851.670000,364.070000,830.220000,494.870000,838.782980,331.173621,839.751800,463.330184,857.156915,371.013090,829.826338,502.383969
851.910000,364.130000,830.410000,494.940000,838.782980,331.173621,839.591352,464.292874,857.156915,371.013090,829.826338,502.383969
852.200000,364.240000,830.820000,495.000000,838.883147,331.273788,839.591352,464.934667,857.156915,371.013090,829.826338,502.383969
852.520000,364.360000,830.940000,495.040000,839.634401,331.023371,839.591352,465.255564,857.156915,371.013090,829.826338,502.383969
852.760000,364.410000,831.020000,495.050000,841.287158,331.424039,839.912249,465.897357,857.156915,371.013090,829.826338,502.383969
852.990000,364.670000,831.100000,495.150000,841.537576,331.874791,840.554042,464.774219,857.156915,371.013090,829.826338,502.383969
853.360000,365.090000,831.100000,495.380000,841.136908,332.125209,841.035387,466.057806,857.156915,371.013090,829.826338,502.383969
853.830000,365.200000,831.030000,495.880000,841.287158,332.325543,842.318974,466.057806,857.156915,371.013090,829.826338,502.383969
854.010000,365.350000,831.100000,496.050000,841.487493,332.626045,842.800319,465.736909,857.156915,370.932042,829.826338,502.383969
854.200000,365.920000,831.100000,496.180000,841.487493,332.876462,842.318974,465.897357,857.156915,370.932042,829.826338,502.383969
854.480000,366.040000,831.100000,496.250000,841.637743,333.176964,842.318974,466.860048,857.375772,371.094137,829.826338,502.383969
854.830000,366.110000,831.210000,496.430000,842.990000,333.277131,842.318974,466.860048,857.375772,370.850995,829.826338,502.383969
854.880000,366.270000,831.240000,497.010000,843.290501,333.477465,842.800319,467.020496,857.375772,370.850995,829.826338,502.383969
854.980000,366.480000,831.216514,497.464344,843.086631,332.136899,842.800319,467.341393,857.375772,370.850995,829.826338,502.383969
855.060000,366.960000,831.216514,497.464344,843.561498,333.086631,843.442113,468.143635,857.375772,370.850995,829.826338,502.383969
855.190000,367.100000,831.216514,497.839499,843.561498,333.561498,843.442113,468.464531,857.156915,370.932042,829.826338,502.383969
855.300000,367.280000,831.216514,498.589809,843.561498,335.302675,843.602561,468.464531,857.211629,371.175184,829.826338,502.383969
855.440000,367.500000,831.216514,498.589809,844.511231,334.194653,843.923458,468.624980,857.211629,371.175184,829.826338,502.383969
854.809249,367.923533,831.216514,498.814902,844.669519,334.827808,843.923458,469.266773,857.211629,371.175184,830.016071,502.383969
854.949634,368.443407,831.368472,499.190057,845.144386,335.302675,843.763010,469.587670,857.211629,371.175184,829.984449,502.383969
854.949634,368.443407,831.368472,499.415150,845.302675,335.460963,843.602561,469.748118,857.211629,371.175184,829.984449,502.383969
854.879442,368.443407,831.368472,499.415150,846.252407,337.043851,843.923458,471.352602,857.211629,371.175184,829.984449,502.383969
854.879442,368.339433,831.317819,499.415150,847.202140,337.993584,844.404803,470.871257,857.211629,371.175184,829.984449,502.383969
854.879442,368.339433,831.165861,499.865336,847.518718,338.468450,844.404803,471.352602,857.211629,371.175184,829.984449,502.383969
854.809249,368.339433,831.165861,499.865336,847.835295,338.626739,844.244355,471.994395,857.211629,371.175184,829.984449,502.383969
854.809249,368.755332,831.115208,500.165460,847.835295,338.310162,845.046597,472.475741,857.211629,371.175184,829.984449,502.383969
854.668865,369.691105,830.861945,500.465584,847.835295,337.835295,845.367493,472.796637,857.211629,371.175184,829.984449,502.383969
854.668865,369.691105,830.861945,500.465584,848.310162,337.835295,845.367493,472.957086,857.156915,371.175184,829.984449,502.383969
854.668865,369.691105,830.861945,500.465584,848.785028,337.993584,845.527942,473.277982,857.156915,371.175184,829.984449,502.383969
854.528480,369.795079,830.811292,500.465584,849.418183,338.468450,846.009287,473.438431,857.156915,371.175184,829.984449,502.383969
