pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.029230,0.065452,0.074752,0.030397,0.063507,0.073967,0.028708,0.065994,0.071988
0.029465,0.066229,0.073944,0.029278,0.067482,0.077556,0.028505,0.061147,0.068608
0.028621,0.065234,0.071247,0.030332,0.068562,0.079149,0.029311,0.063637,0.068089
0.028068,0.063791,0.070726,0.030546,0.065683,0.076367,0.029125,0.064565,0.069112
0.028618,0.061534,0.071899,0.030834,0.062837,0.072374,0.030194,0.065993,0.073205
0.029663,0.064267,0.073877,0.029788,0.066942,0.076192,0.027357,0.060042,0.064332
0.030009,0.059888,0.068874,0.031088,0.062764,0.072079,0.026259,0.058044,0.063215
0.029198,0.061800,0.068638,0.030435,0.066483,0.076774,0.026555,0.063751,0.071005
0.029164,0.062005,0.066508,0.028811,0.067937,0.078767,0.030359,0.060623,0.066693
0.027794,0.064692,0.073011,0.028009,0.057501,0.064826,0.025840,0.060800,0.068140
0.027429,0.062707,0.068771,0.030940,0.063408,0.074924,0.029333,0.066846,0.072121
0.029883,0.064520,0.072536,0.030036,0.067790,0.078802,0.030059,0.063238,0.069537
0.028624,0.061298,0.069337,0.030060,0.065270,0.079124,0.027759,0.054684,0.063190
0.028659,0.061126,0.065431,0.033223,0.064580,0.077186,0.028003,0.062674,0.067240
0.028445,0.063824,0.072627,0.029294,0.066337,0.072767,0.028409,0.063858,0.071772
0.029160,0.059786,0.068645,0.030885,0.069940,0.079074,0.029836,0.066353,0.073885
0.028964,0.063239,0.069645,0.030866,0.069219,0.078478,0.029670,0.062362,0.066655
0.028855,0.061332,0.069143,0.031019,0.067831,0.079580,0.028550,0.061297,0.067298
0.029615,0.062682,0.071443,0.029263,0.062545,0.072442,0.030399,0.063563,0.074584
0.029951,0.063472,0.071755,0.031829,0.070406,0.078163,0.028610,0.062502,0.070625
0.027909,0.060786,0.067732,0.030606,0.064408,0.074625,0.028013,0.058923,0.067467
0.029894,0.062906,0.070468,0.030852,0.061843,0.073616,0.027363,0.057810,0.064474
0.028858,0.062001,0.068135,0.032029,0.067776,0.079114,0.027706,0.065508,0.071935
0.027833,0.058454,0.063531,0.033860,0.064391,0.076948,0.029328,0.063414,0.070122
0.028184,0.060020,0.067501,0.031140,0.062792,0.071245,0.031000,0.064070,0.073719
0.030483,0.066511,0.074355,0.030021,0.059681,0.070524,0.028085,0.059753,0.068368
0.027998,0.059558,0.068829,0.030932,0.062176,0.071821,0.028530,0.065029,0.069547
0.031537,0.063535,0.069368,0.030803,0.062322,0.074823,0.030460,0.061847,0.067829
0.030207,0.060820,0.066859,0.031928,0.067032,0.075087,0.028254,0.059398,0.065234
0.030425,0.063514,0.068342,0.033126,0.070043,0.077617,0.029530,0.061662,0.068250
0.025907,0.057512,0.066635,0.029550,0.061144,0.071769,0.027855,0.066074,0.071682
0.029775,0.065395,0.075936,0.030775,0.068557,0.077793,0.028378,0.062490,0.069876
0.026882,0.062975,0.072255,0.029132,0.061970,0.071387,0.027569,0.062313,0.067648
0.028135,0.063171,0.069140,0.031948,0.062634,0.070971,0.029156,0.061586,0.067426
0.027576,0.061959,0.070440,0.028470,0.061250,0.071432,0.030073,0.066990,0.071195
0.027576,0.063798,0.074340,0.031827,0.063214,0.073435,0.028438,0.059617,0.068392
0.027744,0.066149,0.073050,0.028203,0.062736,0.071499,0.030013,0.063310,0.066440
