pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-1.347616,0.081326,0.858808,-1.297194,0.643242,0.342853,-1.579350,-0.123597,1.062100
-1.355282,0.079070,0.864210,-1.303285,0.645058,0.353127,-1.579159,-0.123778,1.061883
-1.362793,0.076835,0.869557,-1.309366,0.646808,0.363283,-1.578974,-0.123947,1.061681
-1.370151,0.074620,0.874849,-1.315437,0.648491,0.373321,-1.578797,-0.124103,1.061494
-1.377355,0.072426,0.880086,-1.321498,0.650107,0.383241,-1.578628,-0.124246,1.061322
-1.384405,0.070253,0.885267,-1.327549,0.651657,0.393043,-1.578465,-0.124377,1.061165
-1.391302,0.068101,0.890393,-1.333590,0.653139,0.402726,-1.578310,-0.124495,1.061024
-1.398044,0.065969,0.895464,-1.339622,0.654554,0.412292,-1.578163,-0.124599,1.060897
-1.404633,0.063857,0.900480,-1.345643,0.655902,0.421740,-1.578022,-0.124691,1.060786
-1.411067,0.061767,0.905440,-1.351654,0.657183,0.431070,-1.577889,-0.124771,1.060690
-1.417348,0.059697,0.910345,-1.357656,0.658397,0.440281,-1.577764,-0.124837,1.060609
-1.423475,0.057647,0.915195,-1.363647,0.659545,0.449375,-1.577645,-0.124891,1.060543
-1.429448,0.055618,0.919990,-1.369629,0.660625,0.458350,-1.577534,-0.124931,1.060493
-1.435266,0.053610,0.924729,-1.375601,0.661638,0.467207,-1.577430,-0.124959,1.060457
-1.440931,0.051623,0.929414,-1.381562,0.662585,0.475945,-1.577333,-0.124974,1.060437
-1.446442,0.049656,0.934042,-1.387514,0.663464,0.484565,-1.577244,-0.124977,1.060432
-1.451799,0.047710,0.938616,-1.393456,0.664276,0.493066,-1.577162,-0.124966,1.060442
-1.457002,0.045785,0.943134,-1.399388,0.665022,0.501448,-1.577087,-0.124943,1.060467
-1.462051,0.043880,0.947598,-1.405310,0.665700,0.509711,-1.577020,-0.124907,1.060508
-1.466947,0.041996,0.952006,-1.411222,0.666312,0.517855,-1.576960,-0.124858,1.060563
