pt1_X,pt1_Y,pt1_Z,,,,,,
-1.349025,0.069568,0.915213,-1.298698,0.640571,0.426467,-1.577848,-0.127928,1.058411
-1.358911,0.050880,0.893170,-1.301614,0.641993,0.420950,-1.577848,-0.127928,1.058411
-1.363788,0.049272,0.892621,-1.301447,0.643792,0.420300,-1.577848,-0.127928,1.058411
-1.372476,0.045948,0.891136,-1.304808,0.643108,0.423151,-1.577848,-0.127928,1.058411
-1.376737,0.055392,0.901934,-1.306168,0.642922,0.426937,-1.577848,-0.127928,1.058411
-1.380818,0.051054,0.898760,-1.313290,0.669130,0.451613,-1.577848,-0.127928,1.058411
-1.386403,0.047126,0.896793,-1.341713,0.618984,0.411127,-1.577848,-0.127928,1.058411
-1.393978,0.042754,0.899277,-1.342551,0.610349,0.415566,-1.577848,-0.127928,1.058411
-1.397669,0.044277,0.901280,-1.345064,0.653324,0.443703,-1.577848,-0.127928,1.058411
-1.402173,0.052163,0.910208,-1.349542,0.657235,0.445329,-1.577848,-0.127928,1.058411
-1.407240,0.052140,0.910422,-1.354417,0.667761,0.471305,-1.577848,-0.127928,1.058411
-1.415270,0.052610,0.910694,-1.370171,0.647461,0.453638,-1.575876,-0.126654,1.062159
-1.421074,0.062000,0.918744,-1.375468,0.650056,0.443976,-1.576015,-0.122477,1.066299
-1.427540,0.061726,0.915073,-1.383062,0.661390,0.461854,-1.576189,-0.120892,1.065500
-1.433831,0.058127,0.913641,-1.391727,0.652698,0.452385,-1.576189,-0.120892,1.065500
-1.441102,0.059796,0.915346,-1.394700,0.648339,0.448085,-1.576189,-0.120892,1.065500
-1.445623,0.066513,0.927506,-1.398741,0.656367,0.451720,-1.576189,-0.120892,1.065500
-1.450136,0.066502,0.936133,-1.406365,0.656561,0.451664,-1.576189,-0.120892,1.065500
-1.459198,0.059845,0.930335,-1.408722,0.675821,0.470169,-1.577721,-0.122344,1.062861
-1.463499,0.061357,0.933682,-1.412170,0.668982,0.494631,-1.577721,-0.122344,1.062861
-1.468452,0.069062,0.943749,-1.415984,0.667017,0.489005,-1.577721,-0.122344,1.062861
-1.474591,0.065549,0.944223,-1.425045,0.662423,0.478281,-1.577721,-0.122344,1.062861
-1.480476,0.062917,0.947739,-1.427630,0.674879,0.491398,-1.577825,-0.121635,1.061984
-1.483584,0.070935,0.967260,-1.435784,0.680666,0.509088,-1.577825,-0.121635,1.061984
-1.484453,0.065678,0.983552,-1.446368,0.676526,0.504764,-1.577825,-0.121635,1.061984
-1.490273,0.060400,0.990234,-1.454504,0.676189,0.510565,-1.577895,-0.119547,1.064055
-1.495362,0.056185,0.986890,-1.458667,0.675513,0.510179,-1.577860,-0.119379,1.065010
-1.500544,0.052788,0.985543,-1.461275,0.683837,0.533669,-1.577860,-0.119379,1.065010
-1.506735,0.046404,0.982670,-1.461467,0.701215,0.562749,-1.577860,-0.119379,1.065010
-1.512002,0.044902,0.982882,-1.467235,0.698045,0.563495,-1.577860,-0.119379,1.065010
-1.516625,0.044139,0.984630,-1.466434,0.696076,0.577982,-1.577860,-0.119379,1.065010
-1.522234,0.048958,0.992664,-1.467459,0.695059,0.589720,-1.577860,-0.119379,1.065010
-1.528061,0.043306,0.990098,-1.483480,0.675044,0.571611,-1.577860,-0.119379,1.065010
-1.532651,0.038759,0.986890,-1.514042,0.638611,0.553933,-1.577860,-0.119379,1.065010
-1.535838,0.034364,0.988684,-1.518043,0.647052,0.551055,-1.577860,-0.119379,1.065010
-1.540761,0.023315,0.988790,-1.508455,0.677556,0.608125,-1.577860,-0.119379,1.065010
-1.549100,0.008607,0.985033,-1.511829,0.713544,0.648879,-1.577860,-0.119379,1.065010
-1.551831,0.005845,0.987816,-1.514912,0.721344,0.656622,-1.578300,-0.119203,1.063899
-1.552422,-0.000550,0.992995,-1.512893,0.705983,0.647487,-1.578300,-0.119203,1.063899
-1.557301,-0.008853,0.988237,-1.513616,0.704038,0.667027,-1.581791,-0.126066,1.060008
-1.563896,-0.015128,0.986678,-1.539857,0.664866,0.630226,-1.583112,-0.125538,1.056674
-1.563648,-0.013952,1.000272,-1.545154,0.671593,0.643639,-1.583112,-0.125538,1.056674
-1.564152,-0.016553,1.008848,-1.548205,0.681663,0.637654,-1.583112,-0.125538,1.056674
-1.563132,-0.019950,1.013218,-1.552630,0.688750,0.674757,-1.583112,-0.125538,1.056674
-1.564698,-0.022796,1.019143,-1.549832,0.688667,0.687797,-1.578300,-0.119203,1.063899
-1.565379,-0.023817,1.033820,-1.540517,0.689741,0.716889,-1.578072,-0.121357,1.065705
-1.566974,-0.028440,1.032929,-1.565628,0.675695,0.688808,-1.578072,-0.121357,1.065705
-1.551945,-0.009894,1.060928,-1.564888,0.671735,0.706115,-1.578280,-0.115092,1.071915
-1.551821,-0.008867,1.076738,-1.571325,0.652895,0.700531,-1.578246,-0.116136,1.070880
-1.551663,-0.008084,1.081308,-1.573322,0.643373,0.696241,-1.578246,-0.116136,1.070880
-1.550266,-0.006009,1.083263,-1.582797,0.627779,0.734497,-1.578246,-0.116136,1.070880
-1.550774,-0.007447,1.080184,-1.597252,0.612189,0.726980,-1.578246,-0.116136,1.070880
-1.550282,-0.010852,1.084381,-1.600618,0.603537,0.734416,-1.578246,-0.116136,1.070880
-1.548885,-0.008776,1.086336,-1.605458,0.590936,0.735442,-1.578246,-0.116136,1.070880
-1.546360,-0.010291,1.096475,-1.607705,0.618796,0.767226,-1.578246,-0.116136,1.070880
