pt1_dltres,pt2_dltres,pt3_dltres
0.209547,0.085243,0.449758
0.095590,0.120662,0.449758
0.100552,0.011775,0.449758
0.171153,0.500351,0.449758
0.229919,0.776780,0.449758
0.208845,0.840452,0.449758
0.175532,1.204327,0.449758
0.011283,1.345613,0.449758
0.006567,0.320111,0.449758
0.029889,0.097925,0.449758
0.054569,0.442362,0.449758
0.104979,0.680097,0.348718
0.116933,0.200474,0.316180
0.075016,0.196856,0.204537
0.055814,0.089033,0.204537
0.093924,0.111804,0.204537
0.012573,0.008101,0.204537
0.224836,0.111064,0.204537
0.144812,0.218324,0.251061
0.088542,0.943472,0.251061
0.062570,0.587194,0.251061
0.092284,0.042849,0.251061
0.093076,0.097681,0.179343
0.048512,0.149691,0.179343
0.407799,0.023995,0.179343
0.765645,0.096486,0.163073
0.665345,0.024362,0.194865
0.576278,0.426227,0.194865
0.590087,0.734425,0.194865
0.472007,0.721845,0.194865
0.394819,1.414047,0.194865
0.213148,1.765099,0.194865
0.081540,2.036938,0.194865
0.001231,1.867640,0.194865
0.162796,0.600185,0.194865
0.343797,1.234409,0.194865
0.129744,0.742642,0.194865
0.159850,0.167880,0.249380
0.483064,0.233173,0.249380
0.557429,0.659065,0.108382
0.562160,0.387587,0.271924
0.291454,0.190610,0.271924
0.133152,1.340333,0.271924
0.467787,1.005070,0.271924
0.326539,0.902605,0.249380
0.045257,0.310594,0.077843
0.123253,0.316690,0.077843
0.163017,0.301024,0.029034
0.317925,0.168900,0.037169
0.165211,0.188887,0.037169
0.154929,0.016673,0.037169
0.071943,1.249148,0.037169
0.272614,1.290344,0.037169
0.282894,0.968260,0.037169
0.219779,0.638231,0.037169
0.120369,0.185172,0.037169
0.120369,0.147879,0.045161
0.120369,0.150123,0.045161
0.156737,0.581022,0.045161
0.290862,0.620549,0.045161
0.086922,1.441826,0.045161
0.240324,0.924101,0.045161
0.409524,1.013323,0.146198
0.208041,0.818301,0.146198
0.428562,0.818301,0.146198
0.488249,0.775109,0.233439
0.501215,0.755645,0.326483
0.436868,0.755645,0.390068
0.471194,1.540916,0.406529
0.464096,1.157134,0.517433
0.285023,1.505486,0.589497
0.119044,1.378809,0.550512
0.245703,0.756526,0.589698
0.175748,0.228094,0.613359
0.240939,0.013945,0.613359
0.074991,0.162982,0.681852
0.027398,0.122137,0.625652
0.081656,0.145889,0.529521
0.024608,0.087972,0.677067
0.003022,0.552474,0.677067
0.100975,0.571878,0.677067
0.153147,0.633067,0.637135
0.238813,0.632098,0.746152
0.467132,0.667171,0.663790
0.595073,0.734098,0.526919
0.561513,0.727387,0.322054
0.388123,0.656132,0.162324
0.388123,0.738703,0.164717
0.324097,0.101424,0.055703
