Escape Sequence Duration (ms),
GF>+,GF>Kir2.1
11.5,19.33333333
4.833333333,31.83333333
4.5,8.333333333
5.5,122.6666667
18.5,10.33333333
10.16666667,9.833333333
4,18.83333333
4.833333333,14.66666667
4.833333333,13
8.666666667,12.33333333
21.16666667,9.666666667
5,22.83333333
6.333333333,19.33333333
5.333333333,16.33333333
5.833333333,14.66666667
5.166666667,13.66666667
8.5,16.5
4.333333333,10.83333333
4.5,17
5.5,11.66666667
12.83333333,17
10.16666667,57
3.833333333,15.33333333
5,19.16666667
4,34.66666667
4.833333333,5.833333333
11,32.5
4.333333333,5.666666667
3.833333333,11.66666667
6.666666667,19.83333333
6.5,14.5
5.166666667,28.33333333
7.666666667,19.66666667
4.833333333,11.33333333
15.5,18
4.5,13.33333333
4.5,13.16666667
6.5,14.16666667
15.5,13.33333333
5.166666667,8
21.16666667,47
5.333333333,11.83333333
9,20.33333333
8.333333333,38.83333333
10.66666667,5.166666667
4,10.16666667
4.5,11.5
4.5,8.333333333
4.666666667,24.33333333
5.166666667,10.66666667
5.666666667,18.66666667
4.666666667,8.5
11.5,17.66666667
4.833333333,13.5
7.166666667,20.16666667
3.833333333,10.33333333
25,14
8.333333333,9.166666667
3.833333333,
5,
3.5,
5.833333333,
6.833333333,
6,
5.166666667,
5.166666667,
5.166666667,
3.833333333,
9.166666667,
9,
4,
5,
13.33333333,
13.66666667,
5.5,
4.5,
4.833333333,
59.16666667,
3.833333333,
4.666666667,
15,
7.833333333,
4.333333333,
4.166666667,
21.33333333,
7,
215.8333333,
10.33333333,
6.666666667,
4.5,
9.166666667,
8,
6.833333333,
3.5,
6.5,
4.666666667,
8,
4.666666667,
7.666666667,
4.166666667,
4.333333333,
4.5,
3.5,
4.833333333,
10.83333333,
6.666666667,
4,
9.166666667,
12.16666667,
16.33333333,
6.666666667,
4.5,
38.5,
7.5,
13.16666667,
13.33333333,
5.666666667,
6,
5,
4.666666667,
4.833333333,
4,
7.5,
4.333333333,
8.5,
3.666666667,
5.333333333,
9.5,
6.833333333,
11.83333333,
5.5,
4.666666667,
12.33333333,
4.833333333,
15.16666667,
12.33333333,
6.166666667,
8,
3.5,
4.666666667,
6,
5,
9,
6.666666667,
116.6666667,
4.5,
13,
17.5,
5,
5.666666667,
6.333333333,
3.833333333,
3.666666667,
8,
4.5,
7.833333333,
4.333333333,
4,
22.16666667,
22.66666667,
