GF1>+ - Capture (time interval between rows = 1 msec),,,,,,,,,,,GF1>Kir2.1 - Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,GF1>+ - Escape,,,,,,,,,,,,,,,GF1>Kir2.1 - Escape,,,,,,,,,,,
X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm)
23.1038081,-4.307634886,20.48959832,-1.455126159,30.84539193,-0.776157945,26.87775291,-4.800501173,21.16482687,3.16301055,,16.75975513,1.557128977,11.97650525,-2.265748226,11.54479482,-5.440673027,11.60702655,2.117619604,4.547451935,-3.968207051,14.87623996,-0.983211101,19.18684018,-1.750743443,16.18206969,-2.759670174,9.700244197,4.77017013,12.82892495,0.393541166,9.747671968,2.568343579,10.18118112,1.989597905,5.040211311,-3.179970877,,15.67278859,-4.315061788,20.18363724,0.84967154,38.8563999,-2.407625238,8.833281701,1.293284853,11.05931912,3.578970805,17.19983897,0.055536966,30.02467715,4.259957047,,20.16373828,-7.288146132,21.24444835,-0.776193859,13.27323886,-1.403810125,20.15788743,-3.587321974,60.54337251,-2.784890558,11.73205253,5.610569376
23.07007401,-4.247533062,20.44968027,-1.426185856,30.72852091,-0.828318419,26.80499918,-4.815048015,21.20824873,3.193051529,,16.74031065,1.55590497,11.93116331,-2.258563828,11.52978633,-5.409180028,11.55553811,2.083866622,4.54705559,-3.935082784,14.81138934,-1.003704771,19.14114376,-1.699784948,16.13005919,-2.749207567,9.674440956,4.744477385,12.77593987,0.419284171,9.711234099,2.534267377,10.16786188,1.997314262,5.009255745,-3.169403386,,15.63084863,-4.290564941,20.12213351,0.853497981,38.77437189,-2.469651567,8.812460493,1.284996261,11.03422082,3.553982999,17.1948042,0.0791008,29.9514214,4.248291091,,20.13990968,-7.261967386,21.16662005,-0.791493028,13.22804353,-1.383337765,20.13624244,-3.604577596,60.45783769,-2.758421668,11.71523376,5.582255771
23.03467485,-4.186299881,20.40686233,-1.396444261,30.60831962,-0.880849308,26.73060599,-4.82861161,21.25159766,3.222536163,,16.71940022,1.555382874,11.8833931,-2.250956161,11.51438724,-5.376001526,11.50231886,2.04953543,4.546394659,-3.901240315,14.74314067,-1.024501237,19.09161767,-1.647665017,16.0748377,-2.73827916,9.646282415,4.716716292,12.71857679,0.445763306,9.674453021,2.500288894,10.15377972,2.005850085,4.977548606,-3.15685037,,15.58675633,-4.264831037,20.05541428,0.85750654,38.69056799,-2.532951017,8.791184599,1.276788529,11.00783488,3.529087345,17.18931739,0.103691043,29.8760344,4.236530132,,20.11513456,-7.235024253,21.08757254,-0.806622452,13.18150095,-1.362379193,20.1140726,-3.62140279,60.37006519,-2.731109743,11.69688189,5.552846306
22.99758544,-4.124047804,20.36104467,-1.365924585,30.48492259,-0.933607705,26.65467268,-4.8410859,21.29472019,3.251326743,,16.69696308,1.555619188,11.83315222,-2.242907763,11.4986154,-5.34111225,11.44739624,2.014691465,4.545446554,-3.866729638,14.67144866,-1.045540204,19.03810481,-1.59445363,16.0163172,-2.726883587,9.615660729,4.686808332,12.65666489,0.472946482,9.637413735,2.466521626,10.1389163,2.015245605,4.945122553,-3.142201574,,15.54046861,-4.23784792,19.98326933,0.861700008,38.60511663,-2.597419276,8.769482912,1.26869128,10.98012849,3.504357457,17.18335442,0.12931479,29.79859211,4.224704099,,20.08940953,-7.207346871,21.00744893,-0.82152416,13.13364848,-1.340960414,20.09140441,-3.63771137,60.28014265,-2.702980416,11.67693161,5.522342948
22.95878971,-4.060890059,20.31213577,-1.334649094,30.3584661,-0.986459403,26.57729826,-4.852372394,21.33746606,3.279296023,,16.67293729,1.556668776,11.7804013,-2.23439907,11.48248491,-5.30449248,11.39079562,1.979399023,4.544189322,-3.831593779,14.59626382,-1.066759481,18.98046093,-1.540217957,15.95441539,-2.715012793,9.58247236,4.654680955,12.5900389,0.500801185,9.600191685,2.43307002,10.12324967,2.025541622,4.912002629,-3.12535941,,15.49194643,-4.209604167,19.9054926,0.866082646,38.51814058,-2.662957979,8.747379061,1.260728075,10.9510671,3.479862574,17.17688655,0.155973996,29.71917411,4.212838355,,20.06273305,-7.178964359,20.92639084,-0.836141479,13.08451867,-1.319109405,20.06825549,-3.653427385,60.18816148,-2.674065034,11.65531704,5.490749343
22.91828053,-3.996939328,20.26005297,-1.302638788,30.22908782,-1.039279751,26.49858124,-4.862380993,21.3796885,3.306327689,,16.64725956,1.558584509,11.72510275,-2.225408546,11.46600632,-5.266128293,11.33253944,1.943720588,4.542601667,-3.795868732,14.51753349,-1.088094373,18.9185553,-1.485022305,15.88905609,-2.70265238,9.546618142,4.620267776,12.51854008,0.529294293,9.562852553,2.400029247,10.10675438,2.036779316,4.878206491,-3.106239116,,15.44115461,-4.180089215,19.82188319,0.870660067,38.42975596,-2.729475493,8.724891447,1.252916509,10.92061436,3.455666747,17.16988058,0.183666015,29.63786383,4.200953732,,20.0351066,-7.149904296,20.84453735,-0.850418552,13.03413924,-1.296856,20.04463459,-3.668485251,60.09421675,-2.644400147,11.63197207,5.458070655
22.87605929,-3.932306928,20.20472241,-1.269913137,30.09692762,-1.091953362,26.41861911,-4.871030987,21.42124388,3.332315981,,16.61986501,1.561416926,11.66722063,-2.215912176,11.44918706,-5.226011606,11.27264732,1.907716843,4.540662745,-3.759584046,14.43520402,-1.109476598,18.85227031,-1.428928259,15.82016913,-2.689782605,9.508002746,4.583508327,12.44201696,0.558391618,9.525452667,2.367485552,10.08940206,2.049000091,4.84374546,-3.084768008,,15.38806097,-4.149293942,19.73224617,0.875439034,38.34007243,-2.796886539,8.7020337,1.245268693,10.88873143,3.431827658,17.1622992,0.212384253,29.55474911,4.189066901,,20.00653546,-7.120192626,20.76202399,-0.864299954,12.98253341,-1.274231527,20.02054242,-3.682829055,59.99840625,-2.614026901,11.60683085,5.424313354
22.83213502,-3.867102956,20.14607847,-1.236489661,29.96212878,-1.144373192,26.3375074,-4.878252354,21.46199126,3.35716525,,16.59068694,1.56521393,11.6067213,-2.205882891,11.43203193,-5.184140218,11.21113626,1.871446828,4.538351908,-3.722763511,14.34922291,-1.130833206,18.78150057,-1.371994614,15.74768987,-2.676379501,9.466534168,4.544347847,12.36032598,0.588057364,9.488039363,2.335516509,10.07116203,2.062245445,4.808624766,-3.060885429,,15.3326351,-4.117211487,19.63639362,0.880427287,38.24919403,-2.865111195,8.678815085,1.2377916,10.85537604,3.408395283,17.15410127,0.242118774,29.46992205,4.17719075,,19.97702813,-7.089854018,20.67898125,-0.877731376,12.92972017,-1.251268303,19.9959726,-3.696411891,59.90082839,-2.582990868,11.57982835,5.389484843
22.78652245,-3.801437144,20.08406339,-1.20238345,29.82483956,-1.196439362,26.25533889,-4.883986723,21.50179229,3.380789811,,16.55965691,1.570020648,11.54357426,-2.195290462,11.41454339,-5.140517998,11.1480207,1.834968062,4.535648565,-3.685425848,14.25954014,-1.152086243,18.70615184,-1.314277558,15.67155888,-2.662415892,9.422123749,4.502737418,12.27333216,0.618253493,9.450651393,2.304191366,10.05200205,2.076556838,4.772842934,-3.034543205,,15.2748478,-4.083837862,19.53414566,0.885633378,38.15721941,-2.934073995,8.655240842,1.230487278,10.82050202,3.385411439,17.14524199,0.272856916,29.38347823,4.165334704,,19.94659512,-7.058912297,20.59553318,-0.890660836,12.87571468,-1.227999298,19.97091262,-3.709195306,59.80157981,-2.551342076,11.55090111,5.353593098
22.73923955,-3.735419663,20.01862716,-1.16760695,29.68521377,-1.248058411,26.17220322,-4.888187836,21.54051139,3.403114199,,16.526705,1.575879379,11.4777526,-2.184101935,11.39672178,-5.095155144,11.08331247,1.798336541,4.532532153,-3.647585253,14.16610822,-1.173153523,18.62614025,-1.255831315,15.59172194,-2.647862233,9.374686635,4.45863435,12.18090949,0.648939012,9.413319443,2.273571488,10.03188916,2.091975512,4.736391547,-3.005705585,,15.21467135,-4.04917209,19.42533162,0.891066494,38.0642416,-3.0037031,8.631312555,1.223353158,10.78405978,3.362910536,17.13567303,0.304583938,29.29551554,4.153504929,,19.91524808,-7.027390504,20.51179659,-0.903039578,12.82052846,-1.204457984,19.94534467,-3.721148817,59.70075376,-2.519134923,11.51998802,5.316646706
