GF1>+ - Capture (time interval between rows = 1 msec),,,,,,,,,,,GF1>Kir2.1 - Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,GF1>+ - Escape,,,,,,,,,,,,,,,GF1>Kir2.1 - Escape,,,,,,,,,,,
X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),,X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),,X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),,X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm)
23.1038081,-19.35009977,20.48959832,-10.57604592,30.84539193,-0.592382334,26.87775291,-1.405881425,21.16482687,15.09232584,,16.75975513,-3.92904469,11.97650525,7.524195071,11.54479482,-2.23385129,11.60702655,5.217529506,4.547451935,-1.757963093,14.87623996,-3.967304761,19.18684018,7.68116692,16.18206969,1.531254194,9.700244197,1.831379753,12.82892495,6.119562694,9.747671968,-2.213264177,10.18118112,-0.966573256,5.040211311,5.370519746,,15.67278859,-5.260118537,20.18363724,2.161558114,38.8563999,23.19311598,8.833281701,1.567501546,11.05931912,-4.393207934,17.19983897,0.997477807,30.02467715,-6.043332776,,20.16373828,4.802787517,21.24444835,-3.088706139,13.27323886,3.683870411,20.15788743,8.335620786,60.54337251,-5.177284316,11.73205253,-5.960354463
23.07007401,-19.35037715,20.44968027,-10.54027598,30.72852091,-0.611217014,26.80499918,-1.439300825,21.20824873,15.08069525,,16.74031065,-3.947378762,11.93116331,7.489165969,11.52978633,-2.226562412,11.55553811,5.1952643,4.54705559,-1.757069217,14.81138934,-3.925755935,19.14114376,7.672551178,16.13005919,1.551359274,9.674440956,1.833416204,12.77593987,6.085734798,9.711234099,-2.211290387,10.16786188,-0.982041572,5.009255745,5.274868539,,15.63084863,-5.255945098,20.12213351,2.165809032,38.77437189,23.1110019,8.812460493,1.572706104,11.03422082,-4.385795252,17.1948042,1.007419121,29.9514214,-6.011869902,,20.13990968,4.80197938,21.16662005,-3.097492635,13.22804353,3.693253608,20.13624244,8.297931585,60.45783769,-5.170406583,11.71523376,-5.942817056
23.03467485,-19.34987277,20.40686233,-10.50287947,30.60831962,-0.630614502,26.73060599,-1.473645757,21.25159766,15.06760422,,16.71940022,-3.965859022,11.8833931,7.452764689,11.51438724,-2.21919637,11.50231886,5.172248615,4.546394659,-1.755588848,14.74314067,-3.882894049,19.09161767,7.66242291,16.0748377,1.571586779,9.646282415,1.835503732,12.71857679,6.049888796,9.674453021,-2.208771803,10.15377972,-0.997986647,4.977548606,5.1769877,,15.58675633,-5.251066853,20.05541428,2.16969716,38.69056799,23.02652929,8.791184599,1.577895672,11.00783488,-4.377818974,17.18931739,1.017270872,29.8760344,-5.979330694,,20.11513456,4.800697333,21.08757254,-3.10632034,13.18150095,3.703075846,20.1140726,8.259071279,60.37006519,-5.162892372,11.69688189,-5.924910554
22.99758544,-19.348523,20.36104467,-10.46384355,30.48492259,-0.650553489,26.65467268,-1.50887305,21.29472019,15.05297391,,16.69696308,-3.984435367,11.83315222,7.414997036,11.4986154,-2.21177225,11.44739624,5.148495155,4.545446554,-1.753480535,14.67144866,-3.838744278,19.03810481,7.650691636,16.0163172,1.591880936,9.615660729,1.837635825,12.65666489,6.011980648,9.637413735,-2.205671572,10.1389163,-1.014396249,4.945122553,5.077019294,,15.54046861,-5.245443303,19.98326933,2.17318302,38.60511663,22.93977864,8.769482912,1.583052004,10.98012849,-4.369251564,17.18335442,1.026994388,29.79859211,-5.945738865,,20.08940953,4.798905656,21.00744893,-3.115161749,13.13364848,3.713336386,20.09140441,8.219070867,60.28014265,-5.154714294,11.67693161,-5.906662321
22.95878971,-19.34626685,20.31213577,-10.42315192,30.3584661,-0.671011434,26.57729826,-1.544935175,21.33746606,15.03672906,,16.67293729,-4.003055195,11.7804013,7.375871382,11.48248491,-2.204310054,11.39079562,5.124017934,4.544189322,-1.750706075,14.59626382,-3.793331956,18.98046093,7.637267783,15.95441539,1.612184932,9.58247236,1.839800509,12.5900389,5.971970611,9.600191685,-2.201956025,10.12324967,-1.031262075,4.912002629,4.975111972,,15.49194643,-5.239034989,19.9054926,2.176232485,38.51814058,22.85083397,8.747379061,1.588157539,10.9510671,-4.36006614,17.17688655,1.036552462,29.71917411,-5.911121813,,20.06273305,4.796570133,20.92639084,-3.123987779,13.08451867,3.724031882,20.06825549,8.177958596,60.18816148,-5.145843412,11.65531704,-5.888099091
22.91828053,-19.34304618,20.26005297,-10.38078514,30.22908782,-0.691964788,26.49858124,-1.581780125,21.3796885,15.01879819,,16.64725956,-4.021663485,11.72510275,7.335397917,11.46600632,-2.196830675,11.33253944,5.098832446,4.542601667,-1.747230652,14.51753349,-3.74668214,18.9185553,7.622063253,15.88905609,1.63244118,9.546618142,1.841980514,12.51854008,5.929823679,9.562852553,-2.197594739,10.10675438,-1.048579542,4.878206491,4.871419974,,15.44115461,-5.231803693,19.82188319,2.178816871,38.42975596,22.75978199,8.724891447,1.593195438,10.92061436,-4.350236361,17.16988058,1.04590958,29.63786383,-5.875510798,,20.0351066,4.793658689,20.84453735,-3.132768024,13.03413924,3.735156164,20.04463459,8.135759965,60.09421675,-5.136249455,11.63197207,-5.8692468
22.87605929,-19.33880564,20.20472241,-10.33672134,30.09692762,-0.713388934,26.41861911,-1.619351297,21.42124388,14.99911358,,16.61986501,-4.040202972,11.66722063,7.293588087,11.44918706,-2.189355818,11.27264732,5.072955608,4.540662745,-1.743022809,14.43520402,-3.698819137,18.85227031,7.604991869,15.82016913,1.652591591,9.508002746,1.844153779,12.44201696,5.885509984,9.525452667,-2.192560402,10.08940206,-1.066347336,4.84374546,4.766102532,,15.38806097,-5.223712726,19.73224617,2.180912717,38.34007243,22.66671153,8.7020337,1.59814954,10.88873143,-4.339735878,17.1622992,1.055031933,29.55474911,-5.838941124,,20.00653546,4.790141811,20.76202399,-3.141471157,12.98253341,3.746700062,20.02054242,8.092498123,59.99840625,-5.12590123,11.60683085,-5.850130515
22.83213502,-19.33349267,20.14607847,-10.29093688,29.96212878,-0.735257916,26.3375074,-1.657587435,21.46199126,14.97761111,,16.59068694,-4.058614422,11.6067213,7.25045441,11.43203193,-2.181907929,11.21113626,5.046405536,4.538351908,-1.738054444,14.34922291,-3.649766023,18.78150057,7.585969822,15.74768987,1.672577905,9.466534168,1.846293866,12.36032598,5.839005127,9.488039363,-2.186828659,10.07116203,-1.084566987,4.808624766,4.659323478,,15.3326351,-5.21472728,19.63639362,2.182501583,38.24919403,22.57171303,8.678815085,1.603004329,10.85537604,-4.328537609,17.15410127,1.06388741,29.46992205,-5.801452295,,19.97702813,4.785992537,20.67898125,-3.150065031,12.92972017,3.758651303,19.9959726,8.048194324,59.90082839,-5.114767054,11.57982835,-5.830774379
22.78652245,-19.32705741,20.08406339,-10.24340705,29.82483956,-0.75754412,26.25533889,-1.696422599,21.50179229,14.95423017,,16.55965691,-4.07683685,11.54357426,7.206010347,11.41454339,-2.174510196,11.1480207,5.019201264,4.535648565,-1.732300827,14.25954014,-3.599544503,18.70615184,7.564916207,15.67155888,1.692341994,9.422123749,1.848370245,12.27333216,5.790290416,9.450651393,-2.180377969,10.05200205,-1.103242441,4.772842934,4.551250707,,15.2748478,-5.204814599,19.53414566,2.183569861,38.15721941,22.47487792,8.655240842,1.607744928,10.82050202,-4.31661342,17.14524199,1.072445573,29.38347823,-5.763088096,,19.94659512,4.781186116,20.59553318,-3.158516422,12.87571468,3.770994464,19.97091262,8.002868379,59.80157981,-5.102815044,11.55090111,-5.811201519
22.73923955,-19.3194525,20.01862716,-10.19410686,29.68521377,-0.780217919,26.17220322,-1.735786104,21.54051139,14.92891363,,16.526705,-4.094807597,11.4777526,7.16026999,11.39672178,-2.16718657,11.08331247,4.991362451,4.532532153,-1.725740634,14.16610822,-3.548175167,18.62614025,7.541753567,15.59172194,1.711826101,9.374686635,1.850348526,12.18090949,5.739353009,9.413319443,-2.173189521,10.03188916,-1.122379663,4.736391547,4.442055555,,15.21467135,-5.193943923,19.42533162,2.184108622,38.0642416,22.37629817,8.631312555,1.612357096,10.78405978,-4.303934405,17.13567303,1.08067757,29.29551554,-5.723896654,,19.91524808,4.775699773,20.51179659,-3.166790689,12.82052846,3.783711004,19.94534467,7.956538999,59.70075376,-5.090013261,11.51998802,-5.791433747
22.69030552,-19.31063307,19.94972762,-10.14301206,29.54340907,-0.803247042,26.08818611,-1.775602469,21.57801626,14.90160793,,16.49176,-4.112462428,11.40923282,7.113247605,11.37856551,-2.159961765,11.01702025,4.962909028,4.528982172,-1.718355934,14.06888144,-3.495677905,18.54139191,7.516408301,15.50813039,1.730973002,9.324142061,1.852190739,12.082941,5.686185849,9.376066662,-2.16524718,10.01079046,-1.14198632,4.699256295,4.33191243,,15.1520798,-5.182086246,19.30979106,2.184113493,37.9703483,22.27606595,8.607028669,1.616827181,10.74599718,-4.290471406,17.12534264,1.088556005,29.20613355,-5.683930521,,19.883,4.769512908,20.42788087,-3.174851568,12.76416948,3.796779238,19.91924637,7.909224006,59.59843965,-5.076329837,11.48703172,-5.771490919
22.63973969,-19.30055676,19.8773305,-10.09010013,29.39958403,-0.826595828,26.00336814,-1.815791767,21.61417825,14.87226324,,16.45474956,-4.129735698,11.33799433,7.064957373,11.36007127,-2.152861196,10.94914902,4.933860744,4.524978208,-1.71013216,13.96781571,-3.442072414,18.45184241,7.488810877,15.42074177,1.749726122,9.270413104,1.853855704,11.97931853,5.630787515,9.338909107,-2.156537409,9.988673776,-1.16207148,4.661418757,4.220998499,,15.08704917,-5.169214092,19.18737504,2.183584538,37.87562235,22.17427354,8.582384983,1.621142066,10.70626013,-4.276195337,17.1141957,1.096054853,29.11543381,-5.643246859,,19.84986614,4.762607569,20.34388764,-3.18266118,12.7066426,3.810174118,19.89259136,7.860940417,59.49472336,-5.061733212,11.4519801,-5.751390227
22.58756105,-19.28918408,19.80140902,-10.03535104,29.2538971,-0.8502249,25.91782471,-1.856271095,21.64887297,14.84083373,,16.4156004,-4.146560465,11.26401937,7.015413496,11.34123409,-2.145910779,10.87969978,4.904236611,4.520499895,-1.701058091,13.86286926,-3.387378787,18.35743612,7.458895852,15.32952022,1.768029621,9.213425935,1.855299578,11.86994295,5.573162231,9.301856257,-2.147049186,9.965508186,-1.182645267,4.622857858,4.109492967,,15.0195577,-5.155301421,19.05794686,2.182526053,37.7801418,22.07101286,8.557375012,1.6252891,10.66479268,-4.261077213,17.10217403,1.10314944,29.02352053,-5.601907664,,19.81586479,4.754968691,20.25991038,-3.190180214,12.64795066,3.823866869,19.86534968,7.811704443,59.38968755,-5.046192441,11.41478742,-5.731145892
22.53378803,-19.27647865,19.72194219,-9.978747502,29.10650717,-0.874091247,25.83162788,-1.896956806,21.68198062,14.80727776,,16.37423862,-4.162868536,11.1872934,6.964630456,11.3220469,-2.139136597,10.80867005,4.874054336,4.515526952,-1.691125873,13.75400393,-3.331618116,18.25812565,7.426601845,15.2344362,1.785828572,9.153110018,1.856476372,11.75472447,5.513320088,9.264911607,-2.136773987,9.941264283,-1.203718431,4.583551033,3.997575987,,14.94958619,-5.140323576,18.92138199,2.180946129,37.68397963,21.96637465,8.531990206,1.629256058,10.62153716,-4.245088184,17.08921674,1.109816429,28.93050134,-5.559979924,,19.78101699,4.746583845,20.17603408,-3.197368236,12.58809555,3.837824841,19.83748801,7.761531453,59.28341166,-5.02967749,11.3754149,-5.71076924
22.47843861,-19.26240738,19.63891141,-9.92027476,28.95757382,-0.898148414,25.74484837,-1.937766059,21.71338562,14.77155784,,16.33058989,-4.178590648,11.10780615,6.912623012,11.30249979,-2.132564438,10.73605455,4.84332989,4.510039342,-1.680331089,13.64118633,-3.274813117,18.15387158,7.391871626,15.13546534,1.803069373,9.089401858,1.857338098,11.63358282,5.451277334,9.22807317,-2.12570578,9.915914186,-1.22530188,4.543475263,3.885427675,,14.87711843,-5.124257346,18.77756711,2.178855998,37.58720377,21.86044769,8.506220129,1.633031101,10.576435,-4.2281999,17.07526051,1.116033777,28.83648789,-5.517535614,,19.74534497,4.73744285,20.0923346,-3.204184025,12.52707897,3.85201164,19.80896986,7.710435991,59.1759718,-5.01215944,11.33383115,-5.690268848
22.42153078,-19.24694034,19.55229773,-9.859920241,28.80725677,-0.922346659,25.65755665,-1.978617259,21.7429752,14.73363996,,16.28457937,-4.193656975,11.02555282,6.859405841,11.28257934,-2.126219354,10.66184596,4.812077227,4.504017475,-1.668672841,13.52438866,-3.216988667,18.0446424,7.354652312,15.03258712,1.819700177,9.022251612,1.857834527,11.50644782,5.387056699,9.191333914,-2.113841002,9.889431385,-1.247406286,4.502607623,3.773227314,,14.80214165,-5.107081193,18.62639975,2.17626944,37.4898769,21.75331828,8.480052671,1.636602753,10.52942842,-4.210385378,17.06023961,1.121780689,28.74159618,-5.474651258,,19.7088706,4.727537654,20.00887759,-3.210585816,12.46490279,3.866387497,19.77975583,7.658431853,59.0674406,-4.993610655,11.2900123,-5.669650661
22.36308311,-19.23005039,19.46208112,-9.797672925,28.65571452,-0.94663306,25.5698237,-2.019430018,21.77063753,14.69349279,,16.23613136,-4.20799768,10.94053429,6.804993123,11.26226871,-2.120125368,10.58603534,4.780308158,4.49744234,-1.656153823,13.40358959,-3.158172067,17.93041437,7.314895625,14.92578416,1.835671078,8.951628449,1.857913003,11.37326004,5.320687674,9.154682046,-2.101178479,9.861790751,-1.270041719,4.46092566,3.661152567,,14.72464693,-5.088775605,18.46778896,2.173202428,37.39205597,21.64506986,8.453474278,1.639959881,10.48046271,-4.191620073,17.04408609,1.127037547,28.64594721,-5.431406922,,19.67161463,4.716862407,19.92571768,-3.216531491,12.40156848,3.880910031,19.74980378,7.605532246,58.95788692,-4.974004974,11.24394136,-5.648918089
