"r/v = 40, GF>+","r/v = 40, GF>Kir2.1","r/v = 10, GF>+","r/v = 10, GF>Kir2.1"
476.1666667,401,91.5,97.33333333
365.8333333,304.6666667,102,0.833333333
257,354.1666667,102.6666667,94.16666667
359.5,337.3333333,90.83333333,4.5
460.8333333,338.6666667,75.16666667,109.3333333
376.3333333,370.8333333,105,117.8333333
334,474.6666667,133.5,116
244,338,98.66666667,94
279.5,302.1666667,120,106
400.3333333,399,114.3333333,105.6666667
410.8333333,363.1666667,106.8333333,87.5
302.3333333,312.6666667,105.3333333,106.3333333
382.5,423.6666667,114.1666667,84.66666667
332.8333333,405.3333333,108.3333333,107.8333333
363.3333333,385,104.6666667,107.5
216.5,399,93.33333333,113.1666667
297.5,395.5,100.1666667,126
414,393.8333333,121.8333333,127.5
264.3333333,279.8333333,94.83333333,107.8333333
303.3333333,311.3333333,104.6666667,110.3333333
425.6666667,429.3333333,116.6666667,99.16666667
395.5,332,96.16666667,48.83333333
412.5,328.6666667,112.1666667,114.6666667
337.1666667,287.6666667,118.1666667,93.33333333
261.8333333,407.3333333,110.5,106.5
314.3333333,252,109.8333333,138.8333333
284.6666667,338.6666667,107.1666667,102
417.8333333,281.8333333,101.3333333,119.1666667
424.3333333,330.6666667,77.16666667,123
435.3333333,303.3333333,114.1666667,
415.3333333,392.1666667,112.3333333,
359.3333333,433.3333333,95.16666667,
437.1666667,409.6666667,102.1666667,
302.1666667,185,117.6666667,
339.5,303.6666667,107.5,
405.3333333,426,99.66666667,
363,348.3333333,119.5,
294,380.1666667,117.1666667,
327.1666667,401.6666667,106.6666667,
393.5,73.83333333,124.5,
422.5,334.5,92.16666667,
430.3333333,390.5,101.5,
427.1666667,278.1666667,119.8333333,
271.6666667,433.8333333,100.8333333,
385.3333333,,116.6666667,
328.1666667,,108,
354.5,,99.33333333,
327.8333333,,98.5,
306.6666667,,112.3333333,
411.3333333,,104,
392.6666667,,116.1666667,
350.3333333,,118.5,
85.5,,80.5,
297.3333333,,115,
245.1666667,,100.1666667,
423.8333333,,114.6666667,
398.8333333,,106.8333333,
348.5,,117.1666667,
259.8333333,,112.3333333,
342.5,,101.5,
328.5,,95.33333333,
326.5,,82.33333333,
269.5,,85.5,
275.8333333,,103.3333333,
239,,117.3333333,
289.6666667,,111.5,
245.1666667,,88.83333333,
337.5,,122.3333333,
353.1666667,,118.6666667,
386.3333333,,96,
274.5,,96,
314.5,,126.1666667,
348.1666667,,112.5,
297.1666667,,103.5,
320,,128.8333333,
417.6666667,,119.8333333,
426.3333333,,45.66666667,
417.5,,96.33333333,
410.6666667,,120.6666667,
366.8333333,,,
329,,,
325,,,
410.6666667,,,
362.1666667,,,
427.6666667,,,
343.8333333,,,
375.8333333,,,
278.1666667,,,
327,,,
372.8333333,,,
274.3333333,,,
448.8333333,,,
275.3333333,,,
378.8333333,,,
327.8333333,,,
410.3333333,,,
353.8333333,,,
294,,,
362.5,,,
316.3333333,,,
447.6666667,,,
369.5,,,
339.5,,,
269.8333333,,,
432.8333333,,,
294,,,
144.6666667,,,
308.1666667,,,
363,,,
377,,,
338.8333333,,,
402.8333333,,,
421.3333333,,,
281.3333333,,,
366.5,,,
332,,,
427.6666667,,,
183.6666667,,,
420.6666667,,,
262.6666667,,,
31,,,
418.8333333,,,
419.8333333,,,
436.8333333,,,
263,,,
270.3333333,,,
322.3333333,,,
278.6666667,,,
317.1666667,,,
411,,,
418.5,,,
436,,,
430.8333333,,,
317.6666667,,,
421.6666667,,,
349.3333333,,,
453.5,,,
304,,,
319.8333333,,,
391.8333333,,,
