"r/v = 40, GF>+","r/v = 40, GF>Kir2.1","r/v = 10, GF>+","r/v = 10, GF>Kir2.1"
491.1666667,415.5,103,116.6666667
370.1666667,316.1666667,106.8333333,32.66666667
264.8333333,382.5,107.1666667,102.5
364.3333333,348.8333333,96.33333333,127.1666667
464.8333333,358.3333333,93.66666667,119.6666667
381.3333333,382.1666667,115.1666667,127.6666667
338.5,484,137.5,134.8333333
269.8333333,351.3333333,103.5,108.6666667
286.8333333,312.1666667,124.8333333,119
404.6666667,417,135.5,118
415,376.5,111.8333333,97.16666667
308.3333333,325.8333333,111.6666667,129.1666667
403.8333333,437.8333333,119.5,104
339.8333333,418.6666667,114.1666667,124.1666667
387.6666667,404.8333333,109.8333333,122.1666667
432.3333333,407,101.8333333,126.8333333
320.1666667,442.5,104.5,142.5
424.3333333,417.5,126.3333333,138.3333333
268.5,291.6666667,100.3333333,124.8333333
311,328.3333333,117.5,122
430.8333333,449.6666667,126.8333333,116.1666667
402.1666667,340.6666667,100,105.8333333
417.5,333.8333333,117.1666667,130
341.6666667,299.1666667,122.1666667,112.5
266.8333333,417.5,115.3333333,141.1666667
323.5,259.6666667,120.8333333,144.6666667
291,350.1666667,111.5,134.5
425.8333333,290.1666667,105.1666667,124.8333333
430.8333333,347.6666667,83.83333333,134.6666667
440.6666667,327.6666667,120.6666667,
422.1666667,402.8333333,117.5,
362.8333333,443.6666667,102.8333333,
443.6666667,418.8333333,107,
306.8333333,207.5,133.1666667,
347.5,322.3333333,112,
410,439,104.1666667,
370.6666667,356.8333333,126,
315,393.6666667,132.6666667,
331.3333333,423.3333333,111.8333333,
402.1666667,139,145.6666667,
430.1666667,354.6666667,97.5,
448.5,400.8333333,110.5,
431.5,292.1666667,128.1666667,
276.1666667,443,111.5,
388.8333333,,120.6666667,
333,,112.5,
364.6666667,,103.8333333,
338.6666667,,103.1666667,
318.1666667,,117.5,
418,,109.6666667,
397.8333333,,120.8333333,
354.3333333,,130,
94.66666667,,85.33333333,
309.5,,122.1666667,
250.3333333,,104,
430.5,,139.6666667,
403.3333333,,115.1666667,
358.8333333,,121,
298.3333333,,117.3333333,
350,,105,
341.6666667,,101.1666667,
331.5,,89.16666667,
282.8333333,,91.5,
281.5,,108.5,
245.3333333,,122.5,
295.6666667,,116.6666667,
253.5,,92.66666667,
342.1666667,,131.5,
365.8333333,,127.6666667,
391.3333333,,100,
279.1666667,,101,
319.1666667,,139.5,
353,,126.1666667,
301.1666667,,109,
324.3333333,,133.3333333,
425.1666667,,124.6666667,
430.5,,104.8333333,
422.8333333,,100.1666667,
421.5,,125.3333333,
371.8333333,,,
344.3333333,,,
329.3333333,,,
419.1666667,,,
365.8333333,,,
433,,,
348.1666667,,,
381.8333333,,,
284.8333333,,,
336.8333333,,,
377.5,,,
283.8333333,,,
453.8333333,,,
282.1666667,,,
390.6666667,,,
333.3333333,,,
415,,,
374.6666667,,,
306.3333333,,,
373.1666667,,,
321.1666667,,,
462.8333333,,,
374.1666667,,,
346.5,,,
282.1666667,,,
439,,,
302,,,
148.1666667,,,
312.8333333,,,
369,,,
388,,,
343.8333333,,,
411.8333333,,,
428,,,
398,,,
371,,,
345,,,
445.1666667,,,
225.8333333,,,
434,,,
270.3333333,,,
34.33333333,,,
422.6666667,,,
424.8333333,,,
442.5,,,
269.3333333,,,
280.3333333,,,
326.1666667,,,
282.3333333,,,
325.1666667,,,
423.3333333,,,
431.8333333,,,
440.5,,,
438,,,
325.5,,,
426,,,
353.3333333,,,
475.6666667,,,
321.5,,,
342.5,,,
436.1666667,,,
