<0.167 m/s,,,,,,,,,,,,,,,>0.167 m/s,,,,,,,,,,,
Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),,Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s)
-138,0.04118389,-102,0.053388895,-97,0.02212432,-64,0.067856367,-120,0.017513771,-82,0.008183606,-58,0.096529804,,-83,0.016731817,-86,0.06998018,-70,0.07330546,-80,0.08432201,-77,0.05261183,-53,0.087708018
-137,0.042043008,-101,0.055393429,-96,0.022981959,-63,0.069781206,-119,0.018415202,-81,0.006999477,-57,0.098496284,,-82,0.018190127,-85,0.072928526,-69,0.077376232,-79,0.088861385,-76,0.056395298,-52,0.092671216
-136,0.04286911,-100,0.057398727,-95,0.023852939,-62,0.07167875,-118,0.019336689,-80,0.005659346,-56,0.100360999,,-81,0.019723691,-84,0.07590245,-68,0.081534557,-78,0.093483922,-75,0.060278879,-51,0.097722152
-135,0.043662821,-99,0.059403208,-94,0.024738313,-61,0.073549418,-117,0.020277988,-79,0.004147376,-55,0.102122238,,-80,0.021335122,-83,0.07889972,-67,0.085776033,-77,0.098182593,-74,0.064254424,-50,0.102850459
-134,0.044424353,-98,0.061405996,-93,0.025638857,-60,0.075393831,-116,0.021238709,-78,0.002708231,-54,0.103778536,,-79,0.023026907,-82,0.081917989,-66,0.090096237,-76,0.102950614,-73,0.068313702,-49,0.108045472
-133,0.045153708,-97,0.063406949,-92,0.026555048,-59,0.077212773,-115,0.022218315,-77,0.001663611,-53,0.105328479,,-78,0.024801374,-81,0.084954923,-65,0.094490803,-75,0.10778141,-72,0.072448251,-48,0.113296372
-132,0.045850963,-96,0.065406512,-91,0.027487027,-58,0.079007226,-114,0.0232161,-76,0.001276612,-52,0.106770401,,-77,0.026660685,-80,0.088008141,-64,0.098955203,-74,0.112668611,-71,0.07664949,-47,0.118592234
-131,0.04651654,-95,0.06740543,-90,0.028434558,-57,0.080778367,-113,0.024231153,-75,0.00166605,-51,0.108102168,,-76,0.028606896,-79,0.091074959,-63,0.103484332,-73,0.117606073,-70,0.080909077,-46,0.123921937
-130,0.047151372,-94,0.069404419,-89,0.029396988,-56,0.082527405,-112,0.025262346,-74,0.002772564,-50,0.109321105,,-75,0.030641991,-78,0.094152182,-62,0.108072108,-72,0.122587849,-69,0.085219299,-45,0.129273997
-129,0.047756948,-93,0.071403951,-88,0.030373219,-55,0.084255307,-111,0.026308408,-73,0.004378089,-49,0.110424053,,-74,0.032767866,-77,0.097236184,-61,0.112711345,-71,0.127608034,-68,0.089573308,-44,0.134636391
